a	một,
approach	tiếp cận,
appropriate	thích hợp,
Arab	Arab,
architect	kiến trúc sư,
architecture	kiến trúc,
area	khu vực,
arena	đấu trường,
argue	tranh luận,
argument	tranh luận,
arm	cánh tay,
army	quân đội,
around	xung quanh,
array	mảng,
arrest	bắt giữ,
arrival	sự đến,
arrive	đến nơi,
arrow	mũi tên,
art	nghệ thuật,
article	bài báo,
articulate	khớp nối,
artifact	đồ tạo tác,
artificial	nhân tạo,
artist	họa sĩ,
artistic	nghệ thuật,
as	như,
ash	tro,
aside	qua một bên,
ask	hỏi,
asleep	ngủ,
aspect	khía cạnh,
ass	mông,
assemble	tập hợp,
assembly	tổ hợp,
assert	khẳng định,
assessment	thẩm định,
assignment	nhiệm vụ,
associate	liên kết,
associated	liên kết,
assume	giả định,
astronomer	nhà thiên văn học,
at	tại,
athlete	lực sĩ,
athletic	Khỏe mạnh,
atop	trên,
attack	tấn công,
attempt	cố gắng,
attend	tham gia,
attendance	sự tham dự,
attention	chú ý,
attitude	Thái độ,
attorney	luật sư,
attract	thu hút,
attraction	sức hút,
attribute	thuộc tính,
auction	bán đấu giá,
audience	thính giả,
aunt	cô dì,
author	tác giả,
authority	thẩm quyền,
authorize	cho phép,
auto	Tự động,
automatic	tự động,
automatically	tự động,
automobile	ôtô,
autonomy	tự trị,
availability	khả dụng,
available	có sẵn,
average	Trung bình cộng,
avoid	tránh,
await	chờ đợi,
awake	thức tỉnh,
award	giải thưởng,
aware	ý thức,
away	xa,
awful	kinh khủng,
baby	đứa bé,
back	trở lại,
background	lý lịch,
backyard	sân sau,
bacteria	vi khuẩn,
bad	xấu,
badly	tệ,
bag	túi,
balance	cân đối,
balanced	cân bằng,
ball	trái bóng,
balloon	quả bóng bay,
ballot	phiếu,
ban	lệnh cấm,
banana	trái chuối,
band	ban nhạc,
bank	ngân hàng,
banker	chủ ngân hàng,
banking	ngân hàng,
bankruptcy	phá sản,
bar	quán ba,
bare	trần,
barely	vừa đủ,
barn	chuồng trại,
barrel	thùng,
base	căn cứ,
baseball	bóng chày,
basement	tầng hầm,
basic	căn bản,
basically	về cơ bản,
basis	nền tảng,
basket	cái rổ,
basketball	bóng rổ,
bat	gậy,
bath	bồn tắm,
battery	ắc quy,
battle	chiến đấu,
bay	bay,
beach	bờ biển,
beam	chùm tia,
bear	chịu,
beard	râu,
beast	quái thú,
beat	tiết tấu,
beautiful	đẹp,
beauty	sắc đẹp,
because	bởi vì,
become	trở nên,
bed	Giường,
bedroom	phòng ngủ,
bee	con ong,
beef	thịt bò,
beer	bia,
before	trước,
beg	ăn xin,
begin	bắt đầu,
beginning	bắt đầu,
behalf	thay mặt,
behave	hành xử,
behavior	hành vi,
behavioral	hành vi,
behind	phía sau,
being	đang,
belief	niềm tin,
believe	tin,
belly	bụng,
belong	thuộc về,
below	phía dưới,
beneath	ở trên,
benefit	lợi ích,
beside	bên cạnh,
besides	ngoài ra,
best	tốt,
bet	cá cược,
better	tốt hơn,
between	giữa,
beyond	vượt ra ngoài,
bias	sự thiên vị,
bicycle	Xe đạp,
bid	BID,
big	lớn,
bill	hóa đơn,
billion	tỷ,
biography	tiểu sử,
biology	sinh học,
bird	chim,
birth	Sinh,
bishop	giám mục,
bit	bit,
bite	cắn,
bitter	đắng,
black	đen,
blade	lưỡi,
blame	khiển trách,
blank	chỗ trống,
blanket	cái mền,
blast	vụ nổ,
blend	trộn,
bless	ban phước,
blessing	phước lành,
blink	chớp mắt,
block	khối,
blond	tóc vàng,
blood	máu,
bloody	dính máu,
blow	thổi,
blue	màu xanh da trời,
board	bảng,
boast	khoe khoan,
boat	thuyền,
body	thân hình,
boil	sôi lên,
bold	Dũng cảm,
bolt	chớp,
bomb	bom,
bombing	ném bom,
bond	liên kết,
bone	khúc xương,
bonus	thưởng,
book	sách,
boom	sự bùng nổ,
boost	tăng,
booth	gian hàng,
border	biên giới,
boring	nhàm chán,
born	sinh ra,
borrow	vay,
both	cả hai,
bottle	chai,
bottom	đáy,
bounce	tung lên,
bow	cây cung,
bowl	bát,
box	cái hộp,
boy	con trai,
boyfriend	bạn trai,
brain	óc,
brake	phanh,
branch	chi nhánh,
brave	can đảm,
break	phá vỡ,
breast	nhũ hoa,
breath	hơi thở,
breathing	thở,
breeze	khoe khoang,
brick	gạch,
bride	cô dâu,
bridge	cầu,
briefly	ngắn gọn,
bright	sáng,
brilliant	rực rỡ,
bring	mang đến,
British	người Anh,
broad	rộng lớn,
broadcast	phát sóng,
broker	người môi giới,
bronze	đồng,
brother	em trai,
brown	nâu,
brush	chải,
brutal	tàn bạo,
bubble	bong bóng,
bucket	cái xô,
buddy	Bạn bè,
budget	ngân sách,
bug	lỗi,
build	xây dựng,
builder	người xây dựng,
building	Tòa nhà,
bulb	bóng đèn,
bulk	số lượng lớn,
bull	con bò,
bureau	phòng làm việc,
burn	đốt cháy,
burning	đốt,
burst	nổ,
bus	xe buýt,
bush	cây bụi,
business	kinh doanh,
businessman	doanh nhân,
busy	bận,
but	nhưng,
butt	mông,
butterfly	Con bướm,
buy	mua,
by	bởi,
cab	taxi,
cabin	cabin,
cage	cái lồng,
calculate	tính toán,
calculation	phép tính,
calendar	lịch,
call	gọi,
calm	điềm tĩnh,
camera	Máy ảnh,
camp	trại,
campaign	chiến dịch,
can	có thể,
cancel	hủy bỏ,
cancer	ung thư,
candidate	ứng viên,
candle	nến,
candy	Cục kẹo,
canvas	Tranh sơn dầu,
capacity	sức chứa,
capital	thủ đô,
captain	đội trưởng,
capture	nắm bắt,
car	xe hơi,
carbohydrate	carbohydrate,
carbon	carbon,
card	Thẻ,
care	quan tâm,
career	nghề nghiệp,
careful	cẩn thận,
carefully	cẩn thận,
cargo	hàng hóa,
carpet	thảm,
carrier	vận chuyển,
carrot	cà rốt,
carry	mang,
cart	xe đẩy,
cartoon	hoạt hình,
carve	khắc chạm,
case	trường hợp,
cash	tiền mặt,
casino	casino,
cast	dàn diễn viên,
casual	giản dị,
casualty	tai nạn,
cat	con mèo,
catalog	mục lục,
catch	bắt lấy,
category	thể loại,
Catholic	Công giáo,
cattle	gia súc,
cause	nguyên nhân,
cave	hang,
cease	ngưng,
celebration	lễ kỷ niệm,
cell	tế bào,
cemetery	Nghĩa trang,
center	Trung tâm,
central	Trung tâm,
century	thế kỷ,
certain	chắc chắn,
certainly	chắc chắn,
chain	chuỗi,
chair	cái ghế,
chairman	Chủ tịch,
challenge	thử thách,
chance	cơ hội,
change	thay đổi,
changing	thay đổi,
chaos	hỗn loạn,
chapter	chương,
character	tính cách,
charge	sạc điện,
charity	từ thiện,
charm	quyến rũ,
charter	điều lệ,
chase	đuổi theo,
cheap	giá rẻ,
cheat	lừa đảo,
check	kiểm tra,
cheer	vui lên,
chef	đầu bếp,
chemistry	hóa học,
chest	ngực,
chew	nhai,
chicken	gà,
chief	giám đốc,
child	đứa trẻ,
chill	làm lạnh,
chin	cái cằm,
Chinese	Trung Quốc,
choice	lựa chọn,
cholesterol	cholesterol,
choose	chọn,
chop	chặt,
Christian	Christian,
Christianity	Cơ đốc giáo,
Christmas	Giáng Sinh,
chronic	mãn tính,
chunk	mảnh,
church	nhà thờ,
circle	vòng tròn,
circuit	mạch,
circumstance	tình huống,
cite	trích dẫn,
citizen	công dân,
citizenship	quyền công dân,
city	thành phố,
civic	công dân,
civil	dân sự,
civilian	dân thường,
civilization	nền văn minh,
claim	yêu cầu,
class	lớp học,
classical	cổ điển,
classify	phân loại,
classroom	phòng học,
clay	đất sét,
clean	dọn dẹp,
clear	trong sáng,
clearly	thông suốt,
clerk	nhân viên bán hàng,
click	nhấp chuột,
client	khách hàng,
cliff	vách đá,
climb	leo,
cling	bám lấy,
clip	kẹp,
close	gần,
closed	đóng,
closer	gần hơn,
closest	gần nhất,
closet	tủ quần áo,
cloth	vải,
clothes	quần áo,
cloud	đám mây,
club	câu lạc bộ,
clue	manh mối,
cluster	cụm,
coach	huấn luyện viên,
coal	than,
coastal	duyên hải,
cocaine	cocaine,
code	mã,
coffee	cà phê,
cognitive	nhận thức,
coin	đồng tiền,
cold	lạnh,
collaboration	hợp tác,
collapse	sự sụp đổ,
collar	cổ áo,
colleague	đồng nghiệp,
collect	sưu tầm,
collection	bộ sưu tập,
collective	tập thể,
collector	người thu gom,
college	trường đại học,
colonial	thuộc địa,
colony	thuộc địa,
color	màu,
colorful	Đầy màu sắc,
columnist	nhà bình luận viên,
combat	chống lại,
combination	sự phối hợp,
combine	phối hợp,
combined	kết hợp,
come	đến,
comedy	phim hài,
comfortable	Thoải mái,
coming	đang đến,
command	chỉ huy,
comment	bình luận,
commercial	thương mại,
commissioner	ủy viên,
commit	cam kết,
commitment	cam kết,
committee	ủy ban,
commodity	hàng hóa,
common	chung,
commonly	thông thường,
communication	giao tiếp,
community	cộng đồng,
companion	đồng hành,
company	Công ty,
comparable	so sánh,
compare	so sánh,
compel	bắt buộc,
compelling	thuyết phục,
compensation	đền bù,
competition	cuộc thi,
competitor	đối thủ,
complain	than phiền,
complete	hoàn thành,
completely	hoàn toàn,
complex	phức tạp,
complexity	phức tạp,
compliance	sự tuân thủ,
comply	tuân theo,
component	thành phần,
compose	biên soạn,
composition	thành phần,
compound	hợp chất,
comprise	bao gồm,
compromise	thỏa hiệp,
computer	máy vi tính,
concede	công nhận,
conceive	thụ thai,
concept	khái niệm,
conception	quan niệm,
concern	mối quan ngại,
concerned	liên quan,
concerning	có liên quan,
conclude	kết luận,
conclusion	phần kết luận,
concrete	bê tông,
condemn	lên án,
condition	điều kiện,
conduct	hạnh kiểm,
conference	hội nghị,
confess	xưng,
confession	lời thú tội,
confidence	sự tự tin,
confirm	xác nhận,
conflict	cuộc xung đột,
confrontation	đối đầu,
confuse	nhầm lẫn,
confusion	sự nhầm lẫn,
Congress	Hội nghị,
connect	kết nối,
connection	kết nối,
conscience	lương tâm,
conscious	có ý thức,
consciousness	ý thức,
consecutive	liên tiếp,
consensus	sự đồng thuận,
consent	bằng lòng,
consequence	hậu quả,
consequently	hậu quả là,
conservation	bảo tồn,
conservative	thận trọng,
consider	xem xét,
considerably	đáng kể,
consistently	nhất quán,
conspiracy	âm mưu,
constitution	hiến pháp,
constraint	hạn chế,
construction	xây dựng,
consult	tham khảo ý kiến,
consume	tiêu dùng,
consumer	khách hàng,
consumption	tiêu dùng,
contact	tiếp xúc,
contain	chứa,
container	thùng đựng hàng,
contemplate	thưởng ngoạn,
contemporary	đồng thời,
contend	đấu tranh,
content	Nội dung,
contest	Cuộc thi,
context	bối cảnh,
continent	lục địa,
continue	tiếp tục,
continued	tiếp tục,
continuing	tiếp tục,
continuous	liên tiếp,
contract	hợp đồng,
contractor	nhà thầu,
contrast	tương phản,
contribute	Góp phần,
contribution	sự đóng góp,
contributor	người đóng góp,
control	điều khiển,
controversial	gây tranh cãi,
convenience	tiện,
conversation	cuộc hội thoại,
conversion	chuyển đổi,
convey	chuyên chở,
convict	tù nhân,
conviction	lòng tin chắc,
convinced	thuyết phục,
cook	nấu ăn,
cookie	bánh quy,
cooking	nấu nướng,
cool	mát mẻ,
cooperate	hợp tác,
cooperative	hợp tác xã,
coordinate	danh từ,
coordinator	điều phối viên,
cope	đối phó,
copy	sao chép,
cord	dây,
core	cốt lõi,
corner	góc,
corporate	công ty,
correct	chính xác,
correctly	đúng,
correlation	tương quan,
corridor	hành lang,
corruption	tham nhũng,
cost	Giá cả,
costly	tốn kém,
costume	trang phục,
cottage	nhà tranh,
cotton	bông,
couch	đi văng,
could	có thể,
counsel	lời khuyên,
counseling	tư vấn,
counselor	cố vấn,
count	đếm,
counter	quầy tính tiền,
counterpart	đối tác,
country	Quốc gia,
county	quận,
coup	cuộc đảo chính,
couple	vợ chồng,
courage	lòng can đảm,
course	khóa học,
court	tòa án,
courtroom	phòng xử án,
cover	che,
coverage	phủ sóng,
cow	bò,
crack	bẻ khóa,
crash	tai nạn,
crawl	thu thập thông tin,
crazy	khùng,
create	tạo nên,
creativity	sáng tạo,
credibility	uy tín,
credit	tín dụng,
crew	phi hành đoàn,
crime	tội ác,
criminal	phạm tội,
crisis	khủng hoảng,
critic	nhà phê bình,
critical	chỉ trích,
cross	vượt qua,
crowd	đám đông,
crowded	Đông người,
cruel	hung ác,
cruise	du lịch,
crush	nghiền nát,
cry	khóc,
crystal	pha lê,
Cuban	Cuba,
cue	gợi ý,
cultural	văn hoá,
culture	nền văn hóa,
cup	tách,
cure	chữa khỏi,
curiosity	sự tò mò,
curious	Hiếu kỳ,
currency	tiền tệ,
current	hiện hành,
currently	hiện tại,
curtain	tấm màn,
curve	đường cong,
custody	quyền nuôi con,
custom	tập quán,
customer	khách hàng,
cut	cắt tỉa,
cute	dễ thương,
dad	cha,
daily	hằng ngày,
dam	con đập,
damage	hư hại,
damn	chỉ trích,
dance	nhảy,
dancer	vũ công,
dancing	khiêu vũ,
danger	nguy hiểm,
dangerous	nguy hiểm,
dare	dám,
dark	tối,
data	dữ liệu,
database	cơ sở dữ liệu,
date	ngày,
daughter	Con gái,
dawn	bình minh,
day	ngày,
dead	đã chết,
deadline	hạn chót,
deadly	chết người,
deal	thỏa thuận,
dear	kính thưa,
death	tử vong,
debate	tranh luận,
debris	mảnh vụn,
debt	món nợ,
debut	ra mắt,
decade	thập kỷ,
decent	phong nha,
decide	quyết định,
decision	phán quyết,
declare	khai,
decorate	trang trí,
decrease	giảm bớt,
dedicate	dâng hiến,
deem	thấy,
deep	sâu,
defeat	đánh bại,
defend	phòng thủ,
defendant	bị cáo,
defender	hậu vệ,
defense	phòng thủ,
define	định nghĩa,
degree	trình độ,
delay	sự chậm trễ,
deliberately	thong thả,
delicate	tinh tế,
delight	Hân hoan,
deliver	giao hàng,
demand	nhu cầu,
democracy	dân chủ,
Democrat	Dân chủ,
democratic	dân chủ,
demographic	nhân khẩu học,
demonstrate	chứng minh,
demonstration	trình diễn,
denial	từ chối,
dense	dày đặc,
density	tỉ trọng,
deny	phủ nhận,
depart	khởi hành,
department	bộ phận,
departure	khởi hành,
depend	tùy theo,
dependent	phụ thuộc,
depict	miêu tả,
deploy	triển khai,
deposit	tiền gửi,
depressed	suy sụp,
derive	lấy được,
descend	hạ xuống,
describe	miêu tả,
design	thiết kế,
desire	khao khát,
desk	bàn,
desperate	tuyệt vọng,
desperately	tuyệt vọng,
despite	mặc dù,
dessert	món tráng miệng,
destination	nơi đến,
destroy	hủy hoại,
detail	chi tiết,
detailed	chi tiết,
detective	thám tử,
determination	sự quyết tâm,
determine	mục đích,
devastating	tàn phá,
develop	phát triển,
developer	nhà phát triển,
development	phát triển,
developmental	phát triển,
device	thiết bị,
devil	ác quỷ,
devote	cống hiến,
diabetes	Bệnh tiểu đường,
diagnose	chẩn đoán,
diagnosis	chẩn đoán,
diamond	kim cương,
diary	Nhật ký,
dictate	điều khiển,
die	chết,
differ	khác nhau,
difference	Sự khác biệt,
different	khác nhau,
differently	khác,
difficult	khó khăn,
difficulty	khó khăn,
dignity	phẩm giá,
dilemma	tình trạng khó xử,
diminish	suy giảm,
dinner	bữa tối,
dip	nhúng,
diplomat	nhà ngoại giao,
diplomatic	ngoại giao,
direct	thẳng thắn,
direction	phương hướng,
directly	trực tiếp,
director	giám đốc,
disabled	tàn tật,
disappear	biến mất,
disappointed	thất vọng,
disappointment	thất vọng,
disc	đĩa,
disclose	tiết lộ,
discount	giảm giá,
discourage	gây chán nản cho,
discourse	đàm luận,
discover	khám phá,
discrimination	kỳ thị,
discuss	bàn luận,
discussion	thảo luận,
disease	dịch bệnh,
dish	món ăn,
disk	đĩa,
dissolve	giải thể,
distance	khoảng cách,
distinct	khác biệt,
distinctive	đặc biệt,
distinguish	phân biệt,
distract	làm mất tập trung,
district	huyện,
disturb	xáo trộn,
disturbing	phiền,
divide	chia,
divine	thần thánh,
division	phân chia,
divorce	ly hôn,
do	làm,
dock	bến tàu,
doctor	Bác sĩ,
doctrine	học thuyết,
document	tài liệu,
documentary	phim tài liệu,
dog	chó,
doll	búp bê,
domain	miền,
domestic	trong nước,
dominant	có ưu thế,
donate	hiến tặng,
donation	Quyên góp,
donor	nhà tài trợ,
door	cửa,
doorway	lối vào,
dose	liều,
dot	dấu chấm,
doubt	nghi ngờ,
dough	bột,
down	xuống,
downtown	trung tâm thành phố,
dozen	tá,
draft	bản nháp,
drain	ráo nước,
dramatically	đột ngột,
draw	vẽ tranh,
drawer	ngăn kéo,
dream	mơ tưởng,
dress	trang phục,
dried	khô,
drift	trôi dạt,
drill	máy khoan,
drink	uống,
drinking	uống,
drive	lái xe,
driver	người lái xe,
driveway	đường lái xe,
driving	điều khiển,
drop	rơi vãi,
drown	chết chìm,
drug	thuốc uống,
drum	trống,
drunk	say,
dry	khô,
duck	con vịt,
due	đến hạn,
dumb	ngớ ngẩn,
dump	đổ,
during	suốt trong,
Dutch	Người Hà Lan,
duty	nhiệm vụ,
dying	chết,
dynamic	năng động,
dynamics	động lực học,
each	mỗi,
eager	hăng hái,
ear	tai,
early	sớm,
earn	kiếm,
earth	trái đất,
earthquake	động đất,
ease	giảm bớt,
easily	dễ dàng,
east	Đông,
eastern	phương Đông,
easy	dễ dàng,
eat	ăn,
eating	Ăn,
echo	echo,
ecological	sinh thái,
economic	thuộc kinh tế,
economically	kinh tế,
economics	Kinh tế học,
economist	nhà kinh tế học,
economy	nên kinh tê,
ecosystem	hệ sinh thái,
edge	cạnh,
edit	chỉnh sửa,
edition	phiên bản,
editor	người biên tập,
educate	giáo dục,
education	giáo dục,
educational	giáo dục,
effect	hiệu ứng,
effective	có hiệu lực,
effectiveness	hiệu quả,
efficiency	hiệu quả,
efficient	hiệu quả,
effort	cố gắng,
egg	trứng,
ego	tự ngã,
eight	tám,
eighth	thứ tám,
either	hoặc,
elaborate	kỹ lưỡng,
elbow	khuỷu tay,
elder	đàn anh,
election	cuộc bầu cử,
electrical	điện,
electronics	thiết bị điện tử,
elegant	thanh lịch,
element	thành phần,
elephant	con voi,
elevator	thang máy,
eleven	mười một,
eligible	hội đủ điều kiện,
eliminate	loại bỏ,
else	khác,
email	email,
embarrassed	xấu hổ,
emerge	hiện ra,
emergency	trường hợp khẩn cấp,
emerging	mới nổi,
emotional	đa cảm,
emotionally	tình cảm,
empire	đế chế,
employ	thuê,
employee	Nhân viên,
empty	trống,
enact	ban hành,
encounter	gặp gỡ,
encourage	khuyến khích,
encouraging	khuyến khích,
end	kết thúc,
endless	bất tận,
endorse	chứng thực,
endure	chịu đựng,
enemy	kẻ thù,
energy	năng lượng,
enforce	thi hành,
engage	thuê,
engagement	hôn ước,
engine	động cơ,
English	Anh,
enjoy	thưởng thức,
enough	đủ,
enroll	ghi danh,
ensure	đảm bảo,
enter	đi vào,
enthusiasm	hăng hái,
entire	toàn bộ,
entirely	hoàn toàn,
entitle	quyền lợi,
entity	thực thể,
entrepreneur	doanh nhân,
envelope	phong bì,
environment	môi trường,
environmental	môi trường,
envision	hình dung,
epidemic	bệnh dịch,
equal	công bằng,
equality	bình đẳng,
equation	phương trình,
equip	Trang bị,
equipment	Trang thiết bị,
equity	công bằng,
equivalent	tương đương,
era	kỷ nguyên,
escape	thoát khỏi,
especially	đặc biệt,
essence	Bản chất,
essential	Cần thiết,
establish	thành lập,
estate	bất động sản,
estimate	ước tính,
estimated	ước tính,
etc	vv,
ethical	đạo đức,
ethics	đạo đức,
ethnic	dân tộc,
European	Châu Âu,
even	cũng,
evening	tối,
event	biến cố,
eventually	cuối cùng,
ever	không bao giờ,
every	mỗi,
everybody	mọi người,
everyday	mỗi ngày,
everyone	tất cả mọi người,
everything	mọi điều,
everywhere	mọi nơi,
evidence	chứng cớ,
evident	hiển nhiên,
evil	tà ác,
exact	chính xác,
exactly	chính xác,
exam	thi,
examination	kiểm tra,
examine	xem xét,
example	thí dụ,
exceed	quá,
except	ngoại trừ,
excessive	quá đáng,
exchange	trao đổi,
excited	bị kích thích,
excitement	sự phấn khích,
exclude	loại trừ,
exclusive	độc quyền,
exclusively	duy nhất,
excuse	tha,
execute	thi hành,
execution	chấp hành,
executive	điều hành,
exercise	tập thể dục,
exhaust	thoát ra,
exhibit	triển lãm,
exist	hiện hữu,
exit	lối thoát,
exotic	kỳ lạ,
expand	mở rộng,
expect	chờ đợi,
expectation	sự mong đợi,
expected	kỳ vọng,
expedition	thám hiểm,
expensive	đắt,
experience	kinh nghiệm,
experienced	có kinh nghiệm,
experimental	thử nghiệm,
expert	chuyên gia,
expertise	chuyên môn,
explain	giải thích,
explicit	rõ ràng,
explode	nổ tung,
exploit	khai thác,
exploration	thăm dò,
explore	khám phá,
explosion	nổ,
export	xuất khẩu,
express	bày tỏ,
expression	biểu hiện,
extend	mở rộng,
extended	mở rộng,
extension	sự mở rộng,
extent	phạm vi,
extra	thêm,
extremely	vô cùng,
eye	mắt,
eyebrow	lông mày,
fabric	vải,
face	đối mặt,
facilitate	tạo điều kiện,
facility	cơ sở,
fact	thực tế,
factor	hệ số,
faculty	giảng viên,
fail	Thất bại,
failure	thất bại,
faint	mờ nhạt,
fair	hội chợ,
faith	đức tin,
fall	ngã,
fame	danh tiếng,
familiar	quen,
family	gia đình,
famous	nổi danh,
fan	quạt,
fantastic	tuyệt diệu,
far	xa,
fare	giá vé,
farm	nông trại,
farmer	nông phu,
fascinating	hấp dẫn,
fashion	thời trang,
fast	Nhanh,
faster	nhanh hơn,
fat	mập,
fatal	gây tử vong,
father	cha,
fatigue	mệt mỏi,
favor	ủng hộ,
favorable	thuận lợi,
favorite	yêu thích,
fear	nỗi sợ,
feather	lông vũ,
feature	đặc tính,
federal	liên bang,
fee	chi phí,
feed	nuôi,
feedback	Phản hồi,
feel	cảm thấy,
feeling	cảm giác,
fellow	đồng bào,
female	giống cái,
feminist	nữ quyền sĩ,
festival	lễ hội,
fever	sốt,
few	vài,
fewer	ít hơn,
field	cánh đồng,
fierce	khốc liệt,
fifteen	mười lăm,
fifty	năm mươi,
fight	chiến đấu,
fighter	đấu sĩ,
fighting	trận đánh,
figure	nhân vật,
file	tập tin,
fill	lấp đầy,
film	phim ảnh,
filter	lọc,
final	sau cùng,
finally	cuối cùng,
finance	tài chính,
financial	tài chính,
find	tìm thấy,
finding	Phát hiện,
fine	khỏe,
finger	ngón tay,
finish	hoàn thành,
fire	ngọn lửa,
firm	chắc chắn,
firmly	vững chắc,
first	Đầu tiên,
fiscal	tài chính,
fish	cá,
fisherman	ngư dân,
fist	nắm tay,
fit	Phù hợp,
fitness	sự tập thể dục,
five	số năm,
fix	sửa chữa,
fixed	đã sửa,
flame	ngọn lửa,
flash	đèn flash,
flavor	hương vị,
fleet	hạm đội,
flesh	xác thịt,
flexibility	Mềm dẻo,
flexible	linh hoạt,
flight	chuyến bay,
flip	lật,
float	phao,
flood	lũ,
floor	sàn nhà,
flour	bột mì,
flow	lưu lượng,
flower	hoa,
fluid	chất lỏng,
fly	bay,
flying	bay,
focus	tiêu điểm,
fog	sương mù,
fold	gập lại,
folk	dân gian,
follow	theo,
following	tiếp theo,
food	món ăn,
fool	ngu xuẩn,
foot	chân,
football	bóng đá,
for	cho,
forbid	ngăn cấm,
force	lực lượng,
forehead	trán,
foreign	ngoại quốc,
foreigner	người nước ngoài,
forest	rừng,
forget	quên,
forgive	tha lỗi,
fork	cái nĩa,
form	hình thức,
format	định dạng,
formation	sự hình thành,
former	trước đây,
formerly	trước kia,
formula	công thức,
forth	ra,
fortunately	may mắn,
forty	bốn mươi,
forum	diễn đàn,
forward	phía trước,
foster	nuôi dưỡng,
four	bốn,
fourth	thứ tư,
fraction	phân số,
fragile	mong manh,
fragment	miếng,
frame	khung,
franchise	nhượng quyền thương mại,
frankly	thẳng thắn,
fraud	gian lận,
free	miễn phí,
freedom	sự tự do,
freely	tự do,
French	người Pháp,
frequency	tần số,
frequent	Thường xuyên,
frequently	thường xuyên,
fresh	tươi,
freshman	sinh viên năm nhất,
friend	người bạn,
friendship	hữu nghị,
from	từ,
front	trước mặt,
frontier	biên giới,
frown	nhăn mặt,
frozen	đông lạnh,
fruit	trái cây,
frustrate	thất vọng,
frustration	thất vọng,
fucking	fucking,
fuel	nhiên liệu,
full	đầy,
fulltime	toàn thời gian,
fully	đầy đủ,
fun	vui vẻ,
function	chức năng,
functional	chức năng,
