ác mộng	nightmare,
bệnh nhân	patient,
Bệnh tiểu đường	diabetes,
bệnh viện	hospital,
bên ngoài	outer,
bến tàu	dock,
bên trong	within,
bền vững	sustainable,
bếp	stove,
bê tông	concrete,
bia	beer,
bị cáo	defendant,
bị cáo buộc	allegedly,
bị cô lập	isolated,
BID	bid,
biển	marine,
biến cố	incident,
biên giới	frontier,
biện hộ	advocate,
biến mất	vanish,
biên soạn	compose,
biết	know,
biệt thự	mansion,
biểu diễn	perform,
biểu hiện	expression,
biểu thị	indicate,
biểu tình	rally,
biểu tượng	icon,
bi kịch	tragic,
bị kích thích	excited,
bí mật	secret,
bình đẳng	equality,
bình luận	comment,
bình minh	dawn,
bình thường	normal,
bình yên	peaceful,
bit	bit,
bít tất	sock,
Bộ	ministry,
bờ biển	shore,
bộ đồ	suit,
bộ dụng cụ	kit,
bơi	pool,
bối cảnh	context,
bơi lội	swimming,
bồi thẩm đoàn	juror,
bởi vì	because,
bộ lạc	tribal,
bỏ lỡ	miss,
bom	bomb,
bốn	four,
bông	cotton,
bong bóng	bubble,
bóng chày	baseball,
bóng đá	soccer,
bóng đèn	bulb,
bông hồng	rose,
bóng râm	shade,
bóng rổ	basketball,
bổ nhiệm	appoint,
bốn mươi	forty,
bồn rửa	sink,
bồn tắm	bath,
bộ phận	department,
bỏ phiếu	vote,
bộ phim	movie,
bỏ qua	skip,
bổ sung	additional,
bộ sưu tập	gallery,
bột	dough,
bột mì	flour,
bộ trưởng	minister,
bỏ túi	pocket,
bộ vi xử lý	processor,
bữa ăn	meal,
bữa tối	dinner,
Bữa trưa	lunch,
bực bội	angry,
bức tượng	statue,
bức vẽ	painting,
bùn	mud,
bụng	belly,
buổi chiều	afternoon,
buổi sáng	morning,
buổi tiệc	party,
buồn bã	upset,
buôn bán	trade,
buồn cười	funny,
búp bê	doll,
bút chì	pencil,
cá	fish,
cabin	cabin,
cách mạng	revolutionary,
cách thức	manner,
các nhà cung cấp	provider,
cá cược	bet,
cả hai	both,
cá hồi	salmon,
cái	piece,
cải cách	reform,
cái cằm	chin,
cái cổ	neck,
cài đặt	installation,
cái đầu	head,
cái đó	that,
cái ghế	chair,
cái gì đó	something,
cái gối	pillow,
cái hộp	box,
cái lồng	cage,
cái mâm	tray,
cái mền	blanket,
cái móc	hook,
cái nĩa	fork,
cái rổ	basket,
cái thìa	spoon,
cải tiến	improved,
cái ví	purse,
cái xô	bucket,
cấm	prohibit,
cá mập	shark,
cảm biến	sensor,
cảm giác	sensation,
cảm hứng	inspiration,
cam kết	commitment,
cảm ơn	thanks,
cảm tạ	thank,
cảm thấy	feel,
cảm thông	sympathy,
cắn	bite,
căn bản	basic,
cân bằng	balanced,
cán bộ	staff,
căn cứ	base,
can đảm	brave,
cân đối	balance,
ca ngợi	praise,
căng ra	stretch,
canh	wing,
cá nhân	individual,
cảnh báo	warn,
cánh buồm	sail,
cánh đồng	field,
cảnh giới	realm,
căn hộ	apartment,
cảnh sát	policeman,
cánh tay	arm,
cân nặng	weight,
cẩn thận	careful,
can thiệp	intervention,
cần thiết	required,
cao	high,
cáo buộc	alleged,
cao cấp	senior,
cao su	rubber,
cấp	rank,
cấp độ	level,
cà phê	coffee,
cập nhật	update,
cấp tiến	progressive,
cấp trên	superior,
carbohydrate	carbohydrate,
carbon	carbon,
cà rốt	carrot,
casino	casino,
cắt tỉa	trim,
cầu	bridge,
câu chuyện	story,
câu đố	puzzle,
câu hỏi	question,
cầu hôn	propose,
câu lạc bộ	club,
câu trả lời	answer,
cấu trúc	structural,
cà vạt	tie,
cá voi	whale,
cây	tree,
cây bụi	bush,
cây bút	pen,
cây cung	bow,
cây kim	needle,
cây rơm	ridge,
cây sồi	oak,
cây thông	pine,
cha	dad,
chắc chắn	inevitably,
chắc chắn rồi	absolutely,
chắc chắn xảy ra	inevitable,
chải	brush,
chậm	slow,
cha mẹ	parental,
chậm rãi	slowly,
chạm tới	reach,
Chân	leg,
chẩn đoán	diagnose,
chàng	guy,
Chanh	lemon,
chân tay	limb,
chấn thương	trauma,
Chào	hey,
chào bán	offering,
chào hỏi	greet,
chào mừng	welcome,
chấp hành	execution,
Chấp nhận	accept,
chấp nhận được	acceptable,
chấp thuận	acceptance,
chặt	chop,
chặt chẽ	tightly,
chất dinh dưỡng	nutrient,
chất độc	toxic,
chất lỏng	liquid,
chất thải	waste,
Châu Âu	European,
cháu ngoại	grandchild,
Châu Phi	African,
chạy	run,
che	cover,
Chế biến	processing,
chế độ	regime,
chế độ nô lệ	slavery,
chèn	insert,
chết	dying,
chế tạo	manufacturing,
chết chìm	drown,
chết người	deadly,
chỉ	solely,
chia	divide,
Chìa khóa	key,
chia sẻ	shared,
chị ấy	she,
chỉ có	only,
chỉ dẫn	instruction,
chỉ đạo	steer,
chỉ định	specify,
chiếc bánh	pie,
chiếm hữu	possession,
chiếm ưu thế	prevail,
chiến binh	warrior,
chiến đấu	battle,
chiến dịch	campaign,
chiến lược	strategy,
chiến thắng	victory,
chiến thuật	tactic,
chiến tranh	war,
chiếu	projection,
chiều dài	length,
chỉ huy	command,
chim	bird,
chín	nine,
chính	major,
chi nhánh	branch,
chính hãng	genuine,
chính no	itself,
chính quyền	government,
chính sách	policy,
chỉnh sửa	edit,
chính thức	officially,
chính trị	politics,
chính trị gia	politician,
chính trực	integrity,
chính xác	accurately,
chi phí	fee,
chỉ thị	indicator,
chi tiết	detailed,
chỉ trích	damn,
chịu	bear,
chịu đựng	endure,
chịu trách nhiệm	responsible,
chó	dog,
chốc lát	moment,
cho đến	till,
chờ đợi	await,
chơi	play,
cholesterol	cholesterol,
chọn	choose,
chống lại	combat,
chớp	bolt,
cho phép	permit,
chớp mắt	blink,
chó sói	wolf,
chỗ trống	blank,
cho vay	lend,
Christian	Christian,
Chú	uncle,
chứa	accommodate,
chữa khỏi	cure,
chữa lành	heal,
chuẩn bị	prepare,
chưa từng có	unprecedented,
chức năng	functional,
chức tổng thống	presidency,
Chức vụ	position,
chủ đề	thread,
Chữ ký	signature,
chùm tia	beam,
chung	general,
chủ ngân hàng	banker,
chứng cớ	evidence,
chung cư	apartment,
chủ nghĩa phân biệt chủng tộc	racism,
chứng minh	demonstrate,
chúng ta	ourselves,
chứng thực	endorse,
chúng tôi	us,
chủ nhà	host,
chủ nhân	owner,
chuỗi	chain,
chương	chapter,
chuồng trại	barn,
chương trình	program,
chuột	mouse,
chủ quyền	sovereignty,
chú thích	note,
Chủ tịch	chairman,
chú ý	attention,
chuyện	affair,
chuyến bay	flight,
chuyên chở	convey,
chuyến đi	trip,
chuyển đổi	conversion,
chuyển động	motion,
chuyến du lịch	tour,
chuyên gia	expert,
chuyển giao	transmit,
chuyên môn	specialty,
chuyên môn hóa	specialize,
chuyên nghiệp	professional,
chuyến thăm	visit,
chủ yếu	mostly,
Cô	Ms,
có ai	somebody,
có ảnh hưởng	influential,
có ảnh hưởng đến	affect,
cổ áo	collar,
cô ấy	herself,
cơ bản	underlying,
cơ bắp	muscle,
cocaine	cocaine,
cỏ dại	weed,
cô dâu	bride,
cô dì	aunt,
cổ điển	classical,
Cơ đốc giáo	Christianity,
cô đơn	lonely,
cổ đông	shareholder,
cố gắng	attempt,
có hiệu lực	valid,
cơ hội	opportunity,
Cổ hủ	oldfashioned,
cởi mở	openly,
cối xay	mill,
có khả năng	ability,
cơ khí	mechanical,
có kinh nghiệm	experienced,
có kỹ năng	skilled,
co lại	shrink,
cô lập	isolation,
có lẽ	presumably,
có liên quan	concerning,
có năng suất	productive,
con bò	bull,
Con bướm	butterfly,
con chuột	rat,
con đập	dam,
con dê	goat,
con đường	path,
Con gái	daughter,
công bằng	equity,
công bố	publish,
công cộng	public,
công dân	civic,
cộng đồng	community,
Công giáo	Catholic,
cống hiến	devote,
công khai	publicity,
công nghệ	technological,
công nghệ cao	hightech,
công nghiệp	industrial,
công nhận	concede,
cộng sự	partner,
công tắc điện	switch,
công thức	formula,
công trinh	works,
công ty	corporate,
công việc	work,
công viên	park,
con khỉ	monkey,
con lợn	pig,
con mèo	cat,
con ngựa	horse,
con ong	bee,
con rắn	snake,
con số	number,
con sông	river,
Con thỏ	rabbit,
con tin	hostage,
con tôm	shrimp,
Con trai	son,
côn trùng	insect,
con vịt	duck,
con voi	elephant,
cổ phần	stock,
cơ quan	organization,
cơ quan lập pháp	legislature,
có sẵn	available,
cơ sở	facility,
cơ sở dữ liệu	database,
cơ sở hạ tầng	infrastructure,
cò súng	trigger,
có tài	talented,
cổ tay	wrist,
có thật không	really,
cơ thể	organism,
có thể truy cập	accessible,
có tính liên quan	involved,
cốt lõi	core,
có ưu thế	dominant,
cố vấn	counselor,
có vẻ	seemingly,
có xu hướng	tend,
có ý nghĩa	meaningful,
có ý thức	conscious,
cũ	old,
cửa	door,
của anh ấy	his,
của bạn	yours,
của chúng ta	our,
của chúng tôi	ours,
của cô ấy	hers,
cửa hàng	store,
của nó	its,
cửa sổ	window,
cửa tiệm	shop,
Cuba	Cuban,
Cục đá	stone,
Cục kẹo	candy,
cư dân	resident,
Cú đánh	stroke,
cụm	cluster,
cứng	stiff,
cung cấp	provided,
củng cố	reinforce,
cung điện	palace,
cũng không	neither,
cũng thế	also,
cùng với nhau	together,
cuộc bầu cử	election,
cuộc đảo chính	coup,
cuộc điều tra	investigation,
cuộc đua	race,
cuộc hẹn	appointment,
cuộc hội thoại	conversation,
Cuộc thi	contest,
cuộc xâm lăng	invasion,
cuộc xung đột	conflict,
cười	laugh,
Cuối cùng	last,
cưới nhau	married,
cuộn	roll,
cường độ	intensity,
cuốn tiểu thuyết	novel,
cụ thể	particular,
cử tri	voter,
cừu	sheep,
cựu chiến binh	veteran,
Cứu giúp	help,
cứu hộ	rescue,
cứu trợ	relief,
Đà	momentum,
đa cảm	emotional,
đặc biệt	distinctive,
đặc điểm	trait,
đã chết	dead,
đã chọn	selected,
đặc quyền	privilege,
đặc tính	feature,
đặc vụ	agent,
đa dạng	variety,
đá hoa	marble,
dải	strip,
đại diện	represent,
đại dương	ocean,
dài hạn	longterm,
đại học	undergraduate,
đại lý	agency,
đại sảnh	hall,
đại sứ	ambassador,
đấm	punch,
đảm bảo	secure,
đám đông	crowd,
đàm luận	discourse,
đám mây	cloud,
đàn anh	elder,
đàn bà	woman,
dân chủ	democracy,
dàn diễn viên	cast,
đắng	bitter,
đang chạy	running,
Đảng Cộng hòa	Republican,
đang đến	coming,
dâng hiến	dedicate,
đàn ghi ta	guitar,
đang hoạt động	active,
dân gian	folk,
đáng kể	substantially,
đáng kinh ngạc	incredible,
đăng nhập	log,
đáng sợ	scary,
đáng tin cậy	reliable,
đáng yêu	lovely,
đánh	hit,
đánh bại	defeat,
đánh dấu	marker,
đánh giá	appreciate,
danh mục đầu tư	portfolio,
danh sách	list,
đánh thức	wake,
danh tiếng	fame,
danh tính	identity,
danh từ	coordinate,
Đánh vần	spell,
Đàn ông	man,
đàn organ	organ,
đàn piano	piano,
dân số	population,
dân sự	civil,
dân thường	civilian,
dân tộc	ethnic,
Đảo	island,
đạo đức	ethical,
đạo Hồi	Islam,
đạo luật	statute,
đảo ngược	reverse,
đào tạo	training,
dap xe	ride,
đa số	majority,
đã sửa	fixed,
đã sử dụng	used,
đất	soil,
đất đai	land,
đạt được	obtain,
đặt nằm	lay,
đặt phòng	reservation,
đất sét	clay,
dấu	hint,
đầu bếp	chef,
đau buồn	grief,
dấu chấm	dot,
đau đầu	headache,
đau đớn	painful,
đầu gối	knee,
dấu hiệu	indication,
đau khổ	suffering,
đau ốm	sick,
đậu phụng	peanut,
đầu ra	outlet,
đấu sĩ	fighter,
đấu thầu	tender,
Đầu tiên	first,
đấu tranh	contend,
đấu trường	arena,
đầu tư	investment,
đầu vào	input,
dấu vết	trace,
đấu với	versus,
dây	cord,
dày đặc	dense,
đầy đủ	adequate,
Đầy màu sắc	colorful,
đẩy nhanh	accelerate,
đầy tham vọng	ambitious,
dây thần kinh	nerve,
dây thừng	rope,
đề cập đến	mention,
đế chế	empire,
dễ chịu	pleasant,
để cho	let,
đề cử	nomination,
đề cương	outline,
dễ dàng	readily,
đếm	count,
đèn	lamp,
đền bù	compensation,
đèn flash	flash,
đề nghị	proposal,
đến hạn	due,
đến nơi	arrive,
đẹp	handsome,
đẹp mắt	spectacular,
dệt	weave,
đề tài	topic,
dễ thương	cute,
đệ trình	submit,
đều đặn	regular,
đề xuất	proposed,
để ý	notice,
đi	go,
đĩa	disc,
địa chỉ nhà	address,
địa điểm	place,
địa hình	terrain,
Địa ngục	hell,
địa phương	local,
đi bộ	walk,
dịch	translation,
dịch bệnh	disease,
di chuyển	move,
dịch vụ	service,
di cư	migration,
đi dạo	walking,
di động	mobile,
điểm	point,
Điểm nổi bật	highlight,
điềm tĩnh	calm,
điện	electrical,
diễn đàn	forum,
điển hình	typical,
Điện thoại	telephone,
diễn viên	actor,
Điều	thing,
điều chỉnh	tune,
diễu hành	parade,
điêu khắc	sculpture,
điều khiển	dictate,
điều kiện	terms,
điều lệ	charter,
điều này	this,
điều phối viên	coordinator,
điều tra	investigate,
điều trị	treatment,
đi lang thang	hike,
đình chỉ	suspend,
đình công	strike,
định dạng	format,
dính máu	bloody,
định mức	norm,
định nghĩa	define,
Đinh ốc	screw,
định vị	locate,
đi qua	passing,
di sản	legacy,
dịu dàng	gentle,
đi văng	couch,
đi vào	enter,
đổ	dump,
doanh nhân	entrepreneur,
đoán trước	anticipate,
dơ bẩn	shit,
đổ bộ	landing,
dốc	steep,
đọc hiểu	reading,
độc lập	independent,
độc nhất	unique,
độc quyền	exclusive,
Độc thân	single,
dọc theo	along,
đồ đạc	stuff,
do đó	thus,
do dự	hesitate,
đói	hunger,
đói bụng	hungry,
đối đầu	confrontation,
đội hình	squad,
đôi khi	sometimes,
đối mặt	face,
đổi mới	innovation,
đối phó	cope,
đời sống	life,
đối tác	counterpart,
đối thủ	rival,
đội trưởng	captain,
đối với	toward,
độ lớn	magnitude,
dọn dẹp	clean,
đồng	bronze,
đông bắc	northeast,
đồng bào	fellow,
dòng chính	mainstream,
động cơ	motive,
Đóng cọc	pile,
động đất	earthquake,
đồng đội	teammate,
đồng hành	companion,
đồng hồ đeo tay	watch,
đơn giản	simple,
đóng lại	shut,
đông lạnh	frozen,
động lực	motivation,
động lực học	dynamics,
Đông Nam	southeast,
đồng nghiệp	colleague,
Đông người	crowded,
đồng phục	uniform,
đồng thời	simultaneously,
đồng tiền	coin,
động vật hoang dã	wildlife,
động viên	motivate,
đồng ý	agree,
đơn thuốc	prescription,
đơn vị	unit,
độ phân giải	resolution,
đổ ra	shed,
đốt	burning,
đồ tạo tác	artifact,
đốt cháy	burn,
đô thị	metropolitan,
độ tin cậy	reliability,
đột ngột	dramatically,
đột nhiên	sudden,
đồ trang sức	jewelry,
đủ	sufficient,
đùa	joke,
đứa bé	baby,
đưa cho	give,
đưa đón	shuttle,
dự án	project,
đứa trẻ	kid,
Đức hạnh	virtue,
đức tin	faith,
dự định	intend,
dự đoán	prediction,
đùi	thigh,
du khách	traveler,
đủ khả năng	afford,
du lịch	tourism,
dữ liệu	data,
đúng	correctly,
Dũng cảm	bold,
dụng cụ	instrument,
dung dịch	solution,
dừng lại	stop,
đuợc	okay,
được cho là	supposedly,
dược phẩm	medicine,
đuôi	tail,
đuổi theo	chase,
đường	way,
đường chân trời	horizon,
đường cong	curve,
đường đi bộ	sidewalk,
đường hầm	tunnel,
đường lái xe	driveway,
đường mòn	trail,
dường như	apparently,
đường phố	street,
đường sắt	railroad,
dù sao	nonetheless,
đủ tiêu chuẩn	qualify,
dự trữ	reserve,
duyên hải	coastal,
Duy Nhất	sole,
duy trì	sustain,
echo	echo,
email	email,
em gái	sister,
em trai	brother,
eo	waist,
fucking	fucking,
gà	chicken,
gạch	brick,
Gan	liver,
gần đây	lately,
gần đó	nearby,
găng tay	glove,
gần hơn	closer,
gắn kết	mount,
gần nhất	closest,
gặp	meet,
gặp gỡ	encounter,
gập lại	fold,
gặp rắc rối	troubled,
gara	garage,
ga tàu	station,
gà tây	turkey,
gật đầu	nod,
gậy	rod,
gây ấn tượng	impress,
gây chán nản cho	discourage,
gây tranh cãi	controversial,
gây trở ngại	interfere,
gây tử vong	fatal,
ghế	seat,
ghế sô pha	sofa,
ghét bỏ	hate,
ghi âm	recording,
ghi bàn	score,
ghi danh	enroll,
ghi lại	record,
ghim	pin,
gì	what,
giá bán	price,
Giá cả	cost,
giác quan	sense,
giả định	supposed,
giá đỡ	rack,
giai đoạn	period,
giải phóng	release,
giải quyết	tackle,
giải thể	dissolve,
giải thích	explain,
giải thưởng	prize,
giải tỏa	relieve,
giảm	reduce,
giảm bớt	ease,
giám đốc	chief,
giảm giá	discount,
giám mục	bishop,
giám sát	surveillance,
giảm thiểu	minimize,
giản dị	casual,
gián điệp	spy,
giận dữ	rage,
giảng bài	teaching,
Giáng Sinh	Christmas,
giảng viên	instructor,
gian hàng	booth,
giành lại	regain,
gian lận	fraud,
Giao dịch	transaction,
giáo dục	educate,
giao hàng	deliver,
Giáo sư	professor,
giao thông	traffic,
giao thức	protocol,
giao tiếp	communication,
giáo viên	teacher,
giáo xứ	parish,
giá rẻ	cheap,
gia súc	cattle,
gia tài	heritage,
giả thuyết	hypothesis,
giá trị	value,
giặt ủi	laundry,
giàu có	wealthy,
giá vé	fare,
giày	shoe,
giết chết	killing,
giết người	murder,
giờ	oclock,
giới hạn	restrict,
giới thiệu	recommend,
giới tính	gender,
giống	resemble,
giống cái	female,
giọng điệu	accent,
giống nhau	identical,
giống nho	grape,
giữ	hold,
giữa	midst,
Giường	bed,
gỗ	timber,
gỡ bỏ	removal,
góc	angle,
gói	package,
gọi món	order,
gợi ý	cue,
golf	golf,
Góp phần	contribute,
gót chân	heel,
gửi	send,
gương	mirror,
ha	ha,
hai	two,
hài hước	humor,
hai lần	twice,
hai mươi	twentieth,
hai phần ba	twothirds,
hải quân	naval,
hàm	jaw,
hăm dọa	threaten,
hạm đội	fleet,
hãm hiếp	rape,
hạn chế	constraint,
hạn chót	deadline,
hang	cave,
hàng đầu	top,
hăng hái	enthusiasm,
hàng hóa	cargo,
hàng năm	annually,
hằng ngày	daily,
hàng tháng	monthly,
hàng tồn kho	inventory,
hàng trăm	hundred,
hàng tuần	weekly,
hàng xóm	neighbor,
hành chính	administrative,
hành động	act,
hạnh kiểm	conduct,
hành lang	hallway,
Hân hoan	delight,
hạnh phúc	happily,
hành tinh	planet,
hành vi	behavioral,
hành xử	behave,
Hàn Quốc	Korean,
hào phóng	generous,
hấp dẫn	fascinating,
hấp thụ	absorb,
hạt	particle,
hầu hết	almost,
hậu quả	consequence,
hậu quả là	consequently,
hậu vệ	defender,
hạ xuống	descend,
hẻm	alley,
hệ sinh thái	ecosystem,
hệ số	factor,
hệ thống	system,
hệ tư tưởng	ideology,
hiếm	rare,
hiện đại	modern,
hiện hành	current,
hiện hữu	exist,
hiện nay	now,
hiên nhà	porch,
hiển nhiên	evident,
hiến pháp	constitution,
hiện ra	emerge,
hiện tại	currently,
hiến tặng	donate,
hiểu biết	understanding,
Hiếu chiến	aggression,
hiểu không	understand,
Hiếu kỳ	curious,
hiệu lực	validity,
hiệu quả	effectiveness,
hiệu suất	performance,
hiệu trưởng	principal,
hiệu ứng	effect,
hình ảnh	picture,
hình chụp	photo,
hình dạng	shape,
hình dung	envision,
hình như	seem,
hình phạt	punishment,
hình thức	form,
hố	pit,
hoa	flower,
hòa bình	peace,
hoặc	either,
hoặc là	or,
hóa đơn	bill,
hóa học	chemistry,
hòa hợp	harmony,
hoang dã	wilderness,
hoảng loạn	panic,
hoàng tộc	royal,
hoàn hảo	perfect,
hoàn thành	accomplishment,
hoàn toàn	altogether,
họa sĩ	painter,
hoạt động	operation,
hoạt hình	cartoon,
học	study,
học bổng	scholarship,
học hỏi	learn,
học tập	academic,
học thuyết	doctrine,
học viên	practitioner,
hộ gia đình	household,
hỏi	ask,
hội chợ	fair,
hội chứng	syndrome,
hội đủ điều kiện	eligible,
Hồi giáo	Muslim,
hội nghị	conference,
hội nghị thượng đỉnh	summit,
hội nhập	integration,
hơi nước	steam,
hội thảo	seminar,
hơi thở	breath,
hối tiếc	regret,
hồi tưởng	recall,
hội viên	member,
hôm nay	today,
hôm qua	yesterday,
hôn	kiss,
hỗn loạn	chaos,
hơn nữa	furthermore,
hôn ước	engagement,
hoocmon	hormone,
hợp chất	compound,
hợp đồng	contract,
hợp lý	logical,
hợp pháp	legally,
hợp tác	collaboration,
hợp tác xã	cooperative,
Hostile	hostile,
hỗ trợ	supportive,
hứa hẹn	promising,
huấn luyện viên	coach,
Huh	huh,
hư hại	damage,
hung ác	cruel,
Hùng biện	rhetoric,
hướng dẫn	instructional,
hướng Tây	west,
hương thơm	scent,
hương vị	flavor,
hút	suck,
hữu cơ	organic,
Hữu ích	helpful,
hữu nghị	friendship,
hủy bỏ	cancel,
huy chương	medal,
huyện	district,
huyền bí	mysterious,
huyền thoại	legend,
hủy hoại	destroy,
hy vọng	hopefully,
in	print,
Internet	Internet,
Iraqi	Iraqi,
Israeli	Israeli,
ít	handful,
ít hơn	fewer,
ít khi	seldom,
ít nhất	least,
jazz	jazz,
kể cả	including,
kế hoạch	scheme,
kéo	pull,
kẹp	clip,
kết cấu	texture,
kết hôn	marry,
kết hợp	combined,
kẻ thù	enemy,
kế tiếp	next,
kết luận	conclude,
kết nối	connect,
kế toán	accounting,
kết quả	outcome,
kết thúc	end,
kể từ	since,
khá	quite,
khác	differently,
khác biệt	distinct,
khắc chạm	carve,
khách	guest,
khách hàng	client,
khách sạn	hotel,
khách thăm quan	visitor,
khắc nghiệt	harsh,
khác nhau	differ,
khả dụng	availability,
khai	declare,
khai mạc	opening,
khái niệm	notion,
khai thác	exploit,
khám phá	uncover,
khả năng	likelihood,
khả năng lãnh đạo	leadership,
kháng cáo	appeal,
khẳng định	assert,
khăn tắm	towel,
khao khát	desire,
khảo sát	survey,
khắp	throughout,
khả thi	possible,
khe	slot,
khéo léo	neat,
khía cạnh	aspect,
khí đốt	gas,
khiêm tốn	modest,
khiển trách	blame,
khiêu vũ	dancing,
khi nào	when,
khinh bỉ	slightly,
Kho	warehouse,
Khóa	lock,
khoa học	science,
khoảng cách	distance,
Khoảng chân không	vacuum,
khoảng lặng	silence,
khoáng sản	mineral,
khoảng thời gian	interval,
kho báu	treasure,
khóc	cry,
khó chịu	uncomfortable,
khốc liệt	fierce,
khỏe	fine,
khoe khoan	boast,
khoe khoang	breeze,
Khỏe mạnh	athletic,
khối	block,
khởi đầu	start,
khởi hành	depart,
khối u	tumor,
khó khăn	hardly,
Không	no,
không ai	nobody,
không bao giờ	ever,
không chắc chắn	uncertain,
không chính thức	informal,
không có	without,
không có gì	nothing,
không công bằng	unfair,
không gian	space,
không giống	unlike,
không khí	air,
khổng lồ	giant,
không phải	not,
Không thể nào	impossible,
không vui	unhappy,
khôn ngoan	wise,
khớp nối	articulate,
khuấy	stir,
khúc côn cầu	hockey,
khúc xương	bone,
khung	frame,
khủng bố	terrorist,
khủng hoảng	crisis,
khủng khiếp	terribly,
khuôn mẫu	stereotype,
khu vực	regional,
khu vực lân cận	neighborhood,
khuyên bảo	advice,
khuyến khích	encouraging,
khuynh hướng	tendency,
khuỷu tay	elbow,
kịch bản	script,
kích động	provoke,
kích thích	stimulate,
kích thích kinh tế	stimulus,
kích thước	size,
kiếm	earn,
kiểm tra	screening,
kiện	sue,
kiên nhẫn	patience,
kiến trúc	architecture,
kiến trúc sư	architect,
kiểu	type,
kim cương	diamond,
kim loại	metal,
kinh dị	horror,
kinh doanh	business,
kinh khủng	horrible,
kinh nghiệm	experience,
kinh tế	economically,
Kinh tế học	economics,
kính thưa	dear,
kỳ dị	weird,
kỳ hạn	term,
kỳ lạ	exotic,
kỹ lưỡng	elaborate,
kỹ năng	skill,
kỷ nguyên	era,
ký tên	sign,
kỳ thị	discrimination,
kỹ thuật	technique,
kỹ thuật viên	technician,
ký ức	memory,
kỳ vọng	expected,
lá	leaf,
lắc	shake,
lạc quan	optimistic,
lại	re,
lái xe	drive,
làm	do,
lẩm bẩm	mutter,
làm bị thương	injure,
lạm dụng	abuse,
làm gián đoạn	interrupt,
làm hại	harm,
làm lạnh	chill,
làm mất tập trung	distract,
làm mềm	soften,
lạm phát	inflation,
làm sao	how,
làm suy yếu	weaken,
làm thẳng	straighten,
làm vui lòng	satisfy,
lăn	rolling,
lân cận	neighboring,
lane	lane,
làng	village,
lãng mạn	romance,
lạnh	cold,
lãnh đạo	leader,
lần nữa	again,
làn sóng	wave,
Lan tràn	spread,
lao động	labor,
lao xuống	plunge,
lấp đầy	fill,
lập kế hoạch	planner,
lập pháp	legislative,
lập trình	programming,
lập trường	stance,
laser	laser,
lật	flip,
lá thư	letter,
lấy	take,
lấy được	derive,
lấy làm tiếc	sorry,
lấy trộm	steal,
lề	margin,
lễ hội	festival,
lễ kỷ niệm	celebration,
lên	up,
lên án	condemn,
lễ nghi	ritual,
lệnh cấm	ban,
leo	climb,
Lễ Tạ ơn	Thanksgiving,
lều	tent,
lịch	calendar,
lịch sử	historically,
liên bang	federal,
liên đoàn	league,
liên doanh	venture,
liên hệ	relate,
liên hiệp	union,
liên kết	associated,
liên minh	alliance,
liên quan	related,
