cố vấn	counselor
vá	patch
sự đồng thuận	consensus
kinh dị	horror
ghi âm	recording
thay đổi	changing
họa sĩ	painter
thuộc địa	colonial
chiếc bánh	pie
lợi ích	sake
nhìn chằm chằm	gaze
lòng can đảm	courage
mang thai	pregnancy
xin thề	swear
đánh bại	defeat
manh mối	clue
củng cố	reinforce
thắng lợi	win
sự nhầm lẫn	confusion
lát	slice
nghề nghiệp	occupation
kính thưa	dear
than	coal
Linh thiêng	sacred
phạm tội	criminal
công thức	formula
nhận thức	cognitive
tập thể	collective
chính xác	exact
Chú	uncle
Quảng trường	square
đội trưởng	captain
thở dài	sigh
thuộc tính	attribute
dám	dare
đuợc	okay
Vô gia cư	homeless
mát mẻ	cool
bộ sưu tập	gallery
bóng đá	soccer
bị cáo	defendant
đường hầm	tunnel
sự tập thể dục	fitness
vòng	lap
phần mộ	grave
ngón chân	toe
thùng đựng hàng	container
Đức hạnh	virtue
ở nước ngoài	abroad
kiến trúc sư	architect
đột ngột	dramatically
trang điểm	makeup
yêu cầu	inquiry
bông hồng	rose
thật ngạc nhiên	surprisingly
Điểm nổi bật	highlight
giảm bớt	decrease
dấu hiệu	indication
đường sắt	rail
ngày kỷ niệm	anniversary
đi văng	couch
liên minh	alliance
giả thuyết	hypothesis
bạn trai	boyfriend
biên soạn	compose
ngang nhau	peer
lộn xộn	mess
cấp	rank
huyền thoại	legend
quy định	regulate
thanh niên	adolescent
tỏa sáng	shine
định mức	norm
buồn bã	upset
nhận xét	remark
từ chức	resign
dịu dàng	gentle
liên quan	related
đàn organ	organ
nhẹ nhàng	lightly
có liên quan	concerning
phát minh	invent
tiếng cười	laughter
Phù hợp	fit
Tây Bắc	northwest
tư vấn	counseling
chặt chẽ	tight
người nhận	receiver
lễ nghi	ritual
côn trùng	insect
làm gián đoạn	interrupt
cá hồi	salmon
ủng hộ	favor
thương mại	trading
mối quan ngại	concern
cấp trên	superior
chống lại	combat
thân cây	stem
bác sĩ phẫu thuật	surgeon
chấp nhận được	acceptable
vật lý	physics
hãm hiếp	rape
lời khuyên	counsel
chải	brush
Quần jean	jeans
săn bắn	hunt
liên tiếp	continuous
đăng nhập	log
echo	echo
Viên thuốc	pill
bị kích thích	excited
điêu khắc	sculpture
hợp chất	compound
tích hợp	integrate
bột mì	flour
đắng	bitter
trần	bare
dốc	slope
thuê	rent
chức tổng thống	presidency
phục vụ	serving
tế nhị	subtle
rất nhiều	greatly
giám mục	bishop
uống	drinking
sự chậm trễ	delay
khóc	cry
chấp thuận	acceptance
sự sụp đổ	collapse
cửa tiệm	shop
máy bơm	pump
Cục kẹo	candy
tà ác	evil
sau cùng	final
tài chính	finance
vừa lòng	pleased
huy chương	medal
ăn xin	beg
nhà tài trợ	sponsor
đạo đức	ethical
thứ hai	secondary
sập	slam
xuất khẩu	export
thử nghiệm	experimental
tan chảy	melt
nữa đêm	midnight
mạng lưới	net
đường cong	curve
chính trực	integrity
quyền lợi	entitle
hiển nhiên	evident
logic	logic
Bản chất	essence
công viên	park
loại trừ	exclude
khắc nghiệt	harsh
tủ quần áo	closet
ngoại ô	suburban
chào hỏi	greet
ủng hộ	favor
Nội địa	interior
hành lang	corridor
giết người	murder
bán lẻ	retail
người bình	pitcher
tháng Ba	march
con rắn	snake
sân cỏ	pitch
tha	excuse
vượt qua	cross
yếu đuối	weakness
con lợn	pig
lạnh	cold
cổ điển	classical
ước tính	estimated
Áo thun	Tshirt
Trực tuyến	online
thất nghiệp	unemployment
nền văn minh	civilization
gập lại	fold
bệnh nhân	patient
nhạc pop	pop
hằng ngày	daily
đảo ngược	reverse
mất tích	missing
tương quan	correlation
nhân loại	humanity
đèn flash	flash
nhà phát triển	developer
đáng tin cậy	reliable
sự phấn khích	excitement
thịt bò	beef
đạo Hồi	Islam
Roman	Roman
căng ra	stretch
kiến trúc	architecture
thỉnh thoảng	occasional
hành chính	administrative
khuỷu tay	elbow
chết người	deadly
Hồi giáo	Muslim
Người Hispanic	Hispanic
cáo buộc	allegation
tiền boa	tip
nhầm lẫn	confuse
Máy bay	airplane
hàng tháng	monthly
con vịt	duck
liều	dose
Hàn Quốc	Korean
biện hộ	plead
bắt đầu	initiate
bài học	lecture
van	van
thứ sáu	sixth
bay	bay
dòng chính	mainstream
ngoại ô	suburb
sandwich	sandwich
không giống	unlike
Thân cây	trunk
tin đồn	rumor
thực hiện	implementation
nuốt	swallow
động viên	motivate
render	render
thời gian dài	longtime
bẩy	trap
giới hạn	restrict
vải	cloth
có vẻ	seemingly
lập pháp	legislative
hiệu quả	effectiveness
thi hành	enforce
ống kính	lens
chạm tới	reach
thanh tra	inspector
cho vay	lend
trơn	plain
gian lận	fraud
đồng hành	companion
đấu tranh	contend
móng tay	nail
mảng	array
nghiêm khắc	strict
tập hợp	assemble
thẳng thắn	frankly
con chuột	rat
nổ	burst
hành lang	hallway
hang	cave
chắc chắn xảy ra	inevitable
tây nam	southwest
quái vật	monster
tốc độ	speed
phản đối	protest
bất ngờ	unexpected
trở ngại	obstacle
tạo điều kiện	facilitate
gặp gỡ	encounter
Yên nghỉ	rip
thảo mộc	herb
áp đảo	overwhelming
hội nhập	integration
pha lê	crystal
suy thoái kinh tế	recession
muốn	wish
hàng đầu	top
bằng văn bản	written
động cơ	motive
nhãn	label
lũ	flood
cây bút	pen
sở hữu	ownership
ác mộng	nightmare
để ý	notice
kiểm tra	inspection
người giám sát	supervisor
tham khảo ý kiến	consult
đấu trường	arena
cười	laugh
chẩn đoán	diagnosis
chiếm hữu	possession
tha lỗi	forgive
ấm áp	warm
nhất quán	consistently
tầng hầm	basement
dự án	project
trôi dạt	drift
ráo nước	drain
Cuối cùng	last
truy tố	prosecution
tối đa	maximum
thông báo	announcement
chiến binh	warrior
dự đoán	prediction
vi khuẩn	bacteria
bảng câu hỏi	questionnaire
bùn	mud
cơ sở hạ tầng	infrastructure
vội	hurry
đặc quyền	privilege
ngôi đền	temple
ngoài trời	outdoor
hút	suck
và	and
phát sóng	broadcast
lại	re
nhảy vọt	leap
ngẫu nhiên	random
quá khứ	past
cổ tay	wrist
tấm màn	curtain
giám sát	monitor
ao	pond
miền	domain
tội lỗi	guilt
gia súc	cattle
môn học	subject
đi dạo	walking
playoff	playoff
tài chính	fiscal
váy	skirt
đổ	dump
vì thế	hence
cơ sở dữ liệu	database
khó chịu	uncomfortable
mục đích	aim
thi hành	execute
chân tay	limb
hệ tư tưởng	ideology
Trung bình cộng	average
chào mừng	welcome
điều chỉnh	tune
tiếp tục	continuing
làm hại	harm
đường sắt	railroad
chịu đựng	endure
sự bức xạ	radiation
sừng	horn
mãn tính	chronic
bình yên	peaceful
đổi mới	innovation
sự căng thẳng	strain
đàn ghi ta	guitar
thay thế	replacement
hành xử	behave
quản lý	administer
đồng thời	simultaneously
vũ công	dancer
sửa đổi	amendment
bảo vệ	guard
tập giấy	pad
truyền tải	transmission
chờ đợi	await
nghỉ hưu	retired
cò súng	trigger
tràn	spill
tri ân	grateful
ân sủng	grace
ảo	virtual
phản ứng	response
thuộc địa	colony
nhận con nuôi	adoption
trượt	slide
bản địa	indigenous
đóng	closed
tù nhân	convict
dân thường	civilian
khăn tắm	towel
sửa đổi	modify
hạt	particle
giải thưởng	award
nháy mắt	glance
giải thưởng	prize
đổ bộ	landing
hạnh kiểm	conduct
màu xanh da trời	blue
tăng	boost
gậy	bat
báo thức	alarm
lễ hội	festival
nắm chặt	grip
kỳ dị	weird
phá hoại	undermine
sinh viên năm nhất	freshman
mồ hôi	sweat
bên ngoài	outer
Châu Âu	European
say	drunk
khảo sát	survey
nghiên cứu	research
tách biệt	separation
theo truyền thống	traditionally
đồ đạc	stuff
quản lý	govern
Đông Nam	southeast
thông minh	intelligent
ở đâu	wherever
phiếu	ballot
Hùng biện	rhetoric
thuyết phục	convinced
điều khiển	driving
vitamin	vitamin
hăng hái	enthusiasm
chứa	accommodate
ca ngợi	praise
làm bị thương	injure
hoang dã	wilderness
gần đó	nearby
bất tận	endless
ủy nhiệm	mandate
tạm ngừng	pause
tha	excuse
tương ứng	respectively
tính không chắc chắn	uncertainty
hỗn loạn	chaos
ngắn	short
cơ khí	mechanical
Tranh sơn dầu	canvas
bốn mươi	forty
vấn đề	matter
sảnh đợi	lobby
thâm thúy	profound
định dạng	format
đặc điểm	trait
tiền tệ	currency
gà tây	turkey
dự trữ	reserve
chùm tia	beam
lạm dụng	abuse
nhà thiên văn học	astronomer
tham nhũng	corruption
nhà thầu	contractor
xin lỗi	apologize
học thuyết	doctrine
chính hãng	genuine
ngón tay cái	thumb
thống nhất	unity
thỏa hiệp	compromise
kinh khủng	horrible
hành vi	behavioral
độc quyền	exclusive
tiêu tan	scatter
thông thường	commonly
chuyên chở	convey
vội vã	rush
xoắn	twist
phức tạp	complexity
cái nĩa	fork
đĩa	disk
giải tỏa	relieve
nghi ngờ	suspicion
Khóa	lock
hoàn thành	finish
nơi cư trú	residence
xấu hổ	shame
có ý nghĩa	meaningful
đường đi bộ	sidewalk
Thế vận hội	Olympics
công nghệ	technological
Chữ ký	signature
dễ chịu	pleasant
wow	wow
đình chỉ	suspend
nổi loạn	rebel
đông lạnh	frozen
khao khát	desire
vợ hoặc chồng	spouse
chất lỏng	fluid
lương hưu	pension
tiếp tục	resume
lý thuyết	theoretical
natri	sodium
thổi	blow
quảng cáo	promotion
tinh tế	delicate
trán	forehead
xây dựng lại	rebuild
tung lên	bounce
điện	electrical
cái móc	hook
thám tử	detective
du khách	traveler
nhấp chuột	click
đền bù	compensation
tín hiệu	signal
lối thoát	exit
sức hút	attraction
dâng hiến	dedicate
hoàn toàn	altogether
nhặt lên	pickup
khắc chạm	carve
cây kim	needle
bụng	belly
tàu	ship
sợ hãi	scare
danh mục đầu tư	portfolio
đưa đón	shuttle
vô hình	invisible
thời gian	timing
hôn ước	engagement
mắt cá	ankle
Giao dịch	transaction
đối tác	counterpart
lịch sử	historically
vững chắc	firmly
nhẹ nhàng	mild
người lái	rider
búp bê	doll
trưa	noon
triển lãm	exhibit
giữa	amid
giống nhau	identical
tóm lược	precise
lo lắng	anxious
cấu trúc	structural
nhà ở	residential
to tiếng	loud
chẩn đoán	diagnose
carbohydrate	carbohydrate
tự do	liberty
áp phích	poster
thần học	theology
phi lợi nhuận	nonprofit
thu thập thông tin	crawl
ôxy	oxygen
đẹp	handsome
ma thuật	magic
tổng hợp	sum
cung cấp	provided
doanh nhân	businessman
hứa hẹn	promising
có ý thức	conscious
sự quyết tâm	determination
nhà tài trợ	donor
của cô ấy	hers
mục sư	pastor
jazz	jazz
opera	opera
tiếng Nhật	Japanese
cắn	bite
khung	frame
tà ác	evil
mua lại	acquisition
hố	pit
ôm	hug
động vật hoang dã	wildlife
trừng phạt	punish
khổng lồ	giant
sơ cấp	primary
công bằng	equity
sai rồi	wrong
lối vào	doorway
khởi hành	departure
thang máy	elevator
thiếu niên	teenage
hướng dẫn	guidance
hạnh phúc	happiness
bức tượng	statue
theo đuổi	pursuit
sửa	repair
phong nha	decent
phòng thể dục	gym
miệng	oral
nhân viên bán hàng	clerk
Israeli	Israeli
phong bì	envelope
Báo cáo	reporting
nơi đến	destination
nắm tay	fist
chứng thực	endorse
thăm dò	exploration
hào phóng	generous
bồn tắm	bath
cứu hộ	rescue
bằng cách ấy	thereby
tổng thể	overall
chỉ thị	indicator
ánh sáng mặt trời	sunlight
Phản hồi	feedback
quang phổ	spectrum
màu tím	purple
laser	laser
Dũng cảm	bold
lưỡng lự	reluctant
bắt đầu	starting
chuyên môn	expertise
thực tế	practically
chương trình	program
hình ảnh	picture
Ăn	eating
tuổi tác	age
Tình nguyện	volunteer
dấu	hint
mạnh	sharply
diễu hành	parade
biện hộ	advocate
cảnh giới	realm
lệnh cấm	ban
dải	strip
hủy bỏ	cancel
trộn	blend
nhà trị liệu	therapist
lát	slice
lột vỏ	peel
pizza	pizza
người nhận	recipient
do dự	hesitate
lật	flip
kế toán	accounting
tranh luận	debate
sự thiên vị	bias
Huh	huh
phép ẩn dụ	metaphor
nến	candle
xử lý	handle
lo	worry
tư pháp	judicial
thực thể	entity
đau khổ	suffering
toàn thời gian	fulltime
cảm thấy	feel
đèn	lamp
rác thải	garbage
người hầu	servant
thêm vào	addition
quy định	regulatory
ngoại giao	diplomatic
thanh lịch	elegant
phía trong	inside
tiếp nhận	reception
biến mất	vanish
tự động	automatically
cái cằm	chin
đường mòn	trail
sự cần thiết	necessity
xưng	confess
chủ nghĩa phân biệt chủng tộc	racism
bắt đầu	starter
Nội địa	interior
ngân hàng	banking
giản dị	casual
nghiêm trọng	gravity
ghi danh	enroll
suy giảm	diminish
Phòng ngừa	prevention
Arab	Arab
giá trị	value
giảm thiểu	minimize
chặt	chop
người biểu diễn	performer
ý định	intent
cô lập	isolate
máy bơm	pump
hàng tồn kho	inventory
có năng suất	productive
tổ hợp	assembly
công dân	civic
lụa	silk
độ lớn	magnitude
dốc	steep
con tin	hostage
người thu gom	collector
phổ biến	popularity
hôn	kiss
người ngoài hành tinh	alien
năng động	dynamic
đáng sợ	scary
phương trình	equation
Thiên thần	angel
công tắc điện	switch
chào bán	offering
giận dữ	rage
nhiếp ảnh	photography
sửa	repair
phòng vệ sinh	toilet
thất vọng	disappointed
quí	precious
cấm	prohibit
Tiêu biểu	representative
Nội dung	content
thực tế	realistic
Người Nga	Russian
ẩn	hidden
chỉ huy	command
đấu thầu	tender
đánh thức	wake
thu thập	gathering
nổi bật	outstanding
tình cờ gặp	stumble
cô đơn	lonely
ôtô	automobile
nhân tạo	artificial
bình minh	dawn
trừu tượng	abstract
hạ xuống	descend
ngớ ngẩn	silly
cái móc	hook
thủy triều	tide
chia sẻ	shared
hy vọng	hopefully
dễ dàng	readily
hợp tác	cooperate
cách mạng	revolutionary
lãng mạn	romance
phần cứng	hardware
cái gối	pillow
bộ dụng cụ	kit
nấu ăn	cook
Lan tràn	spread
lục địa	continent
niêm phong	seal
mạch	circuit
bồn rửa	sink
phán quyết	ruling
sự thiếu	shortage
hàng năm	annually
gần đây	lately
bẩy	trap
quét	scan
ngu xuẩn	fool
hạn chót	deadline
phía sau	rear
Chế biến	processing
trang trại	ranch
duyên hải	coastal
thực hiện	undertake
nhẹ nhàng	softly
dự trữ	reserve
đốt	burning
lời nói	verbal
bộ lạc	tribal
nực cười	ridiculous
tự động	automatic
kim cương	diamond
uy tín	credibility
nhập khẩu	import
tình dục	sexually
mùa xuân	spring
đường	way
thần thánh	divine
tình cảm	sentiment
xe đẩy	cart
giám sát	oversee
thân cây	stem
đàn anh	elder
pro	pro
cảm hứng	inspiration
Người Hà Lan	Dutch
số lượng	quantity
trailer	trailer
người bạn đời	mate
giờ	oclock
người Hy Lạp	Greek
Thiên tài	genius
tượng đài	monument
BID	bid
nhiệm vụ	quest
lời mời	invitation
tính chính xác	accuracy
bồi thẩm đoàn	juror
chính thức	officially
người môi giới	broker
kho báu	treasure
lòng trung thành	loyalty
tín dụng	credit
sốc	shock
có tài	talented
xăng	gasoline
cứng	stiff
đầu ra	output
ứng cử viên	nominee
mở rộng	extended
xin vui lòng	please
Bệnh tiểu đường	diabetes
tát	slap
chất độc	toxic
cáo buộc	alleged
hàm	jaw
đau buồn	grief
huyền bí	mysterious
tên lửa	rocket
hiến tặng	donate
tù nhân	inmate
giải quyết	tackle
động lực học	dynamics
cây cung	bow
của chúng tôi	ours
cao cấp	senior
phẩm giá	dignity
thảm	carpet
cha mẹ	parental
bong bóng	bubble
nhiệt	heat
Bạn bè	buddy
chuồng trại	barn
thanh kiếm	sword
thứ bảy	seventh
vinh quang	glory
chặt chẽ	tightly
bảo vệ	protective
tuck	tuck
trống	drum
mờ nhạt	faint
bài đăng	post
nữ hoàng	queen
tình trạng khó xử	dilemma
đầu vào	input
chuyên môn hóa	specialize
đông bắc	northeast
nông	shallow
trách nhiệm pháp lý	liability
cánh buồm	sail
thương gia	merchant
sân vận động	stadium
cải tiến	improved
dính máu	bloody
đánh bại	defeat
liên kết	associated
thu hồi	withdrawal
tủ lạnh	refrigerator
tổ	nest
ở gần	near
triệt để	thoroughly
lane	lane
tổ tiên	ancestor
lên án	condemn
hơi nước	steam
giọng điệu	accent
thoát khỏi	escape
lạc quan	optimistic
thống nhất	unite
cái lồng	cage
Trang bị	equip
con tôm	shrimp
quê hương	homeland
trao đổi	exchange
giá đỡ	rack
trang phục	costume
chó sói	wolf
phòng xử án	courtroom
đạo luật	statute
hoạt hình	cartoon
năng suất	productivity
nụ cười	grin
tượng trưng	symbolic
lỗi	bug
ban phước	bless
cô dì	aunt
nông nghiệp	agriculture
đá	rock
Hostile	hostile
nguồn gốc	root
thụ thai	conceive
kết hợp	combined
ngay lập tức	instantly
phá sản	bankruptcy
vắcxin	vaccine
thưởng	bonus
hợp tác	collaboration
pha trộn	mixed
phản đối	opposed
quỹ đạo	orbit
sự hiểu biết	grasp
kiên nhẫn	patience
bất bình	spite
nhiệt đới	tropical
bầu cử	voting
tuần tra	patrol
sự sẵn lòng	willingness
Chức vụ	position
sự mặc khải	revelation
thuê	rent
đồ trang sức	jewelry
Cuba	Cuban
lôi	haul
công nhận	concede
dấu vết	trace
toa xe	wagon
sau đó	afterward
đẹp mắt	spectacular
phá hoại	ruin
tuyệt	sheer
trước	prior
miễn dịch	immune
độ tin cậy	reliability
mông	ass
bên cạnh	alongside
cây bụi	bush
kỳ lạ	exotic
hấp dẫn	fascinating
đảm bảo	secure
kẹp	clip
đùi	thigh
con bò	bull
ngăn kéo	drawer
quan tâm	regard
cừu	sheep
gây chán nản cho	discourage
điều phối viên	coordinator
ý thức hệ	ideological
người chạy	runner
thế tục	secular
thân mật	intimate
đế chế	empire
taxi	cab
ly hôn	divorce
thi	exam
phim tài liệu	documentary
Trung tính	neutral
sinh học	biology
linh hoạt	flexible
cấp tiến	progressive
web	web
âm mưu	conspiracy
bắt lấy	catch
tai nạn	casualty
nước cộng hòa	republic
chấp hành	execution
khủng khiếp	terrific
cá voi	whale
chức năng	functional
ngôi sao	star
bản nháp	draft
bản năng	instinct
đồng đội	teammate
nhôm	aluminum
bất cứ ai	whoever
Bộ	ministry
bản án	verdict
dạy	instruct
sọ	skull
lòng tự trọng	selfesteem
giảm bớt	ease
hợp tác xã	cooperative
vận dụng	manipulate
con ong	bee
học viên	practitioner
vòng lặp	loop
chỉnh sửa	edit
roi da	whip
câu đố	puzzle
nấm	mushroom
trợ cấp	subsidy
sôi lên	boil
bi kịch	tragic
toán học	mathematics
thợ cơ khí	mechanic
lọ	jar
sự tôn trọng	respect
động đất	earthquake
thịt heo	pork
sáng tạo	creativity
an toàn	safely
cơ bản	underlying
món tráng miệng	dessert
cảm thông	sympathy
ngư dân	fisherman
vô cùng	incredibly
cô lập	isolation
bít tất	sock
ở gần	near
nhảy	jump
mười một	eleven
sexy	sexy
doanh nhân	entrepreneur
hội chứng	syndrome
phòng làm việc	bureau
ghế	seat
nơi làm việc	workplace
tham vọng	ambition
đụng	touchdown
sử dụng	utilize
khoe khoang	breeze
tốn kém	costly
đầy tham vọng	ambitious
Cơ đốc giáo	Christianity
có lẽ	presumably
có ảnh hưởng	influential
dịch	translation
không chắc chắn	uncertain
giải thể	dissolve
vật	object
thống kê	statistical
ruột	gut
đô thị	metropolitan
lăn	rolling
thẩm mỹ	aesthetic
Đánh vần	spell
chèn	insert
gian hàng	booth
mũ bảo hiểm	helmet
eo	waist
kỳ vọng	expected
sư tử	lion
hoàn thành	accomplishment
hoàng tộc	royal
hoảng loạn	panic
dàn diễn viên	cast
nghiền nát	crush
tích cực	actively
vách đá	cliff
tối thiểu	minimal
dây	cord
may mắn	fortunately
cocaine	cocaine
ảo giác	illusion
vô danh	anonymous
tha thứ	tolerate
sự đánh giá	appreciation
ủy viên	commissioner
làm hại	harm
Mềm dẻo	flexibility
hướng dẫn	instructional
tranh giành	scramble
casino	casino
khối u	tumor
trang trí	decorate
sắp xếp	sort
sạc điện	charge
xung	pulse
tương đương	equivalent
đã sửa	fixed
có kinh nghiệm	experienced
Quyên góp	donation
Nhật ký	diary
anh chị em ruột	sibling
mỉa mai	irony
cái thìa	spoon
giữa	midst
hẻm	alley
buồn bã	upset
tương tác	interact
xà bông	soap
dễ thương	cute
đối thủ	rival
thời gian ngắn	shortterm
đấm	punch
ghim	pin
khúc côn cầu	hockey
đi qua	passing
tồn tại	persist
nhà cung cấp	supplier
nổi tiếng	known
Đà	momentum
cái ví	purse
đổ ra	shed
biểu tượng	icon
con voi	elephant
hậu quả là	consequently
cơ quan lập pháp	legislature
nhượng quyền thương mại	franchise
đúng	correctly
tinh thần	mentally
nuôi dưỡng	foster
Xe đạp	bicycle
khuyến khích	encouraging
lừa đảo	cheat
truy cập	access
chữa lành	heal
sốt	fever
lọc	filter
Con thỏ	rabbit
đồng tiền	coin
khai thác	exploit
có thể truy cập	accessible
cơ thể	organism
cảm giác	sensation
một phần	partially
ở lại	stay
tầng trên	upstairs
khô	dried
tối thiểu	minimum
pro	pro
bảo tồn	conservation
xô	shove
sân sau	backyard
điều lệ	charter
bếp	stove
bằng lòng	consent
bao gồm	comprise
nhắc nhở	reminder
như nhau	alike
vị trí	placement
bột	dough
cháu ngoại	grandchild
con đập	dam
báo cáo	reportedly
