counselor	cố vấn
naked	trần truồng
anticipate	đoán trước
nut	hạt
legacy	di sản
extension	sự mở rộng
shrug	nhún vai
fly	bay
battery	ắc quy
arrival	sự đến
legitimate	hợp pháp
orientation	sự định hướng
inflation	lạm phát
cope	đối phó
flame	ngọn lửa
cluster	cụm
host	chủ nhà
dependent	phụ thuộc
shower	vòi hoa sen
institutional	thể chế
depict	miêu tả
operating	điều hành
flesh	xác thịt
garage	gara
operator	nhà điều hành
instructor	giảng viên
borrow	vay
furthermore	hơn nữa
comedy	phim hài
mortgage	thế chấp
sanction	sự trừng phạt
twelve	mười hai
weekly	hàng tuần
habitat	môi trường sống
grain	ngũ cốc
brush	chải
consciousness	ý thức
devote	cống hiến
crack	bẻ khóa
measurement	phép đo
province	tỉnh
ease	giảm bớt
seize	tịch thu
ethics	đạo đức
nomination	đề cử
permission	sự cho phép
wise	khôn ngoan
actress	nữ diễn viên
summit	hội nghị thượng đỉnh
acid	axit
odds	tỷ lệ
gifted	năng khiếu
frustration	thất vọng
medium	Trung bình
function	chức năng
physically	thể chất
grant	ban cho
distinguish	phân biệt
shore	bờ biển
repeatedly	nhiều lần
lung	phổi
firm	chắc chắn
correct	chính xác
distinct	khác biệt
artistic	nghệ thuật
discourse	đàm luận
basket	cái rổ
ah	ah
fighting	trận đánh
impressive	ấn tượng
competitor	đối thủ
ugly	xấu xí
worried	lo lắng
portray	miêu tả
powder	bột
ghost	ma
persuade	truy vấn
moderate	vừa phải
subsequent	sau đó
continued	tiếp tục/
cookie	bánh quy
carrier	vận chuyển
cooking	nấu nướng
frequent	Thường xuyên
ban	lệnh cấm
swing	lung lay
orange	trái cam
awful	kinh khủng
admire	ngưỡng mộ
pet	vật nuôi
miracle	phép màu
exceed	quá
rhythm	nhịp
widespread	phổ biến rộng rãi
killing	giết chết
lovely	đáng yêu
sin	tội
charity	từ thiện
script	kịch bản
tactic	chiến thuật
identification	nhận biết
transformation	chuyển đổi
everyday	mỗi ngày
headline	tiêu đề
crash	tai nạn
venture	liên doanh
invasion	cuộc xâm lăng
military	quân đội
nonetheless	dù sao
adequate	đầy đủ
piano	đàn piano
grocery	tạp hóa
intensity	cường độ
high	cao
blanket	cái mền
margin	lề
quarterback	tiền vệ
mouse	chuột
rope	dây thừng
concrete	bê tông
prescription	đơn thuốc
AfricanAmerican	Người Mỹ gốc Phi
chase	đuổi theo
document	tài liệu
brick	gạch
recruit	tuyển dụng
patch	vá
consensus	sự đồng thuận
horror	kinh dị
recording	ghi âm
changing	thay đổi
painter	họa sĩ
colonial	thuộc địa
pie	chiếc bánh
sake	lợi ích
gaze	nhìn chằm chằm
courage	lòng can đảm
pregnancy	mang thai
swear	xin thề
defeat	đánh bại
clue	manh mối
reinforce	củng cố
win	thắng lợi
confusion	sự nhầm lẫn
slice	lát
occupation	nghề nghiệp
dear	kính thưa
coal	than
sacred	Linh thiêng
criminal	phạm tội
formula	công thức
cognitive	nhận thức
collective	tập thể/
exact	chính xác
uncle	Chú
square	Quảng trường
captain	đội trưởng
sigh	thở dài
attribute	thuộc tính
dare	dám
okay	đuợc
homeless	Vô gia cư
cool	mát mẻ
gallery	bộ sưu tập
soccer	bóng đá
defendant	bị cáo
tunnel	đường hầm
fitness	sự tập thể dục
lap	vòng
grave	phần mộ
toe	ngón chân
container	thùng đựng hàng
virtue	Đức hạnh
abroad	ở nước ngoài
architect	kiến trúc sư
dramatically	đột ngột
makeup	trang điểm
inquiry	yêu cầu
rose	bông hồng
surprisingly	thật ngạc nhiên
highlight	Điểm nổi bật
decrease	giảm bớt
indication	dấu hiệu
rail	đường sắt
anniversary	ngày kỷ niệm
couch	đi văng
alliance	liên minh
hypothesis	giả thuyết
boyfriend	bạn trai
compose	biên soạn
peer	ngang nhau
mess	lộn xộn
rank	cấp
legend	huyền thoại
regulate	quy định
adolescent	thanh niên
shine	tỏa sáng
norm	định mức
upset	buồn bã
remark	nhận xét
resign	từ chức
gentle	dịu dàng
related	liên quan
organ	đàn organ
lightly	nhẹ nhàng
concerning	có liên quan
invent	phát minh
laughter	tiếng cười
fit	Phù hợp
northwest	Tây Bắc
counseling	tư vấn
tight	chặt chẽ
receiver	người nhận
ritual	lễ nghi
insect	côn trùng
interrupt	làm gián đoạn
salmon	cá hồi
favor	ủng hộ
trading	thương mại
concern	mối quan ngại
superior	cấp trên
combat	chống lại
stem	thân cây
surgeon	bác sĩ phẫu thuật
acceptable	chấp nhận được
physics	vật lý
rape	hãm hiếp
counsel	lời khuyên
brush	chải
jeans	Quần jean
hunt	săn bắn
continuous	liên tiếp
log	đăng nhập
echo	echo
pill	Viên thuốc
excited	bị kích thích
sculpture	điêu khắc
compound	hợp chất
integrate	tích hợp
flour	bột mì
bitter	đắng
bare	trần
slope	dốc
rent	thuê
presidency	chức tổng thống
serving	phục vụ
subtle	tế nhị
greatly	rất nhiều
bishop	giám mục
drinking	uống
delay	sự chậm trễ
cry	khóc
acceptance	chấp thuận
collapse	sự sụp đổ
shop	cửa tiệm
pump	máy bơm
candy	Cục kẹo
evil	tà ác
final	sau cùng
finance	tài chính
pleased	vừa lòng
medal	huy chương
beg	ăn xin
sponsor	nhà tài trợ
ethical	đạo đức
secondary	thứ hai
slam	sập
export	xuất khẩu
experimental	thử nghiệm
melt	tan chảy
midnight	nữa đêm
net	mạng lưới
curve	đường cong
integrity	chính trực
entitle	quyền lợi
evident	hiển nhiên
logic	logic
essence	Bản chất
park	công viên
exclude	loại trừ
harsh	khắc nghiệt
closet	tủ quần áo
suburban	ngoại ô
greet	chào hỏi
favor	ủng hộ
interior	Nội địa
corridor	hành lang
murder	giết người
retail	bán lẻ
pitcher	người bình
march	tháng Ba
snake	con rắn
pitch	sân cỏ
excuse	tha
cross	vượt qua
weakness	yếu đuối
pig	con lợn
cold	lạnh
classical	cổ điển
estimated	ước tính
Tshirt	Áo thun
online	Trực tuyến
unemployment	thất nghiệp
civilization	nền văn minh
fold	gập lại
patient	bệnh nhân
pop	nhạc pop
daily	hằng ngày
reverse	đảo ngược
missing	mất tích
correlation	tương quan
humanity	nhân loại
flash	đèn flash
developer	nhà phát triển
reliable	đáng tin cậy
excitement	sự phấn khích
beef	thịt bò
Islam	đạo Hồi
Roman	Roman
stretch	căng ra
architecture	kiến trúc
occasional	thỉnh thoảng
administrative	hành chính
elbow	khuỷu tay
deadly	chết người
Muslim	Hồi giáo
Hispanic	Người Hispanic
allegation	cáo buộc
tip	tiền boa
confuse	nhầm lẫn
airplane	Máy bay
monthly	hàng tháng
duck	con vịt
dose	liều
Korean	Hàn Quốc
plead	biện hộ
initiate	bắt đầu
lecture	bài học
van	van
sixth	thứ sáu
bay	bay
mainstream	dòng chính
suburb	ngoại ô
sandwich	sandwich
unlike	không giống
trunk	Thân cây
rumor	tin đồn
implementation	thực hiện
swallow	nuốt
motivate	động viên
render	render
longtime	thời gian dài
trap	bẩy
restrict	giới hạn
cloth	vải
seemingly	có vẻ
legislative	lập pháp
effectiveness	hiệu quả
enforce	thi hành
lens	ống kính
reach	chạm tới
inspector	thanh tra
lend	cho vay
plain	trơn
fraud	gian lận
companion	đồng hành
contend	đấu tranh
nail	móng tay
array	mảng
strict	nghiêm khắc
assemble	tập hợp
frankly	thẳng thắn
rat	con chuột
burst	nổ
hallway	hành lang
cave	hang
inevitable	chắc chắn xảy ra
southwest	tây nam
monster	quái vật
speed	tốc độ
protest	phản đối
unexpected	bất ngờ
obstacle	trở ngại
facilitate	tạo điều kiện
encounter	gặp gỡ
rip	Yên nghỉ
herb	thảo mộc
overwhelming	áp đảo
integration	hội nhập
crystal	pha lê
recession	suy thoái kinh tế
wish	muốn
top	hàng đầu
written	bằng văn bản
motive	động cơ
label	nhãn
flood	lũ
pen	cây bút
ownership	sở hữu
nightmare	ác mộng
notice	để ý
inspection	kiểm tra
supervisor	người giám sát
consult	tham khảo ý kiến
arena	đấu trường
laugh	cười
diagnosis	chẩn đoán
possession	chiếm hữu
forgive	tha lỗi
warm	ấm áp
consistently	nhất quán
basement	tầng hầm
project	dự án
drift	trôi dạt
drain	ráo nước
last	Cuối cùng
prosecution	truy tố
maximum	tối đa
announcement	thông báo
warrior	chiến binh
prediction	dự đoán
bacteria	vi khuẩn
questionnaire	bảng câu hỏi
mud	bùn
infrastructure	cơ sở hạ tầng
hurry	vội
privilege	đặc quyền
temple	ngôi đền
outdoor	ngoài trời
suck	hút
and	và
broadcast	phát sóng
re	lại
leap	nhảy vọt
random	ngẫu nhiên
past	quá khứ
wrist	cổ tay
curtain	tấm màn
monitor	giám sát
pond	ao
domain	miền
guilt	tội lỗi
cattle	gia súc
subject	môn học
walking	đi dạo
playoff	playoff
fiscal	tài chính
skirt	váy
dump	đổ
hence	vì thế
database	cơ sở dữ liệu
uncomfortable	khó chịu
aim	mục đích
execute	thi hành
limb	chân tay
ideology	hệ tư tưởng
average	Trung bình cộng
welcome	chào mừng
tune	điều chỉnh
continuing	tiếp tục
harm	làm hại
railroad	đường sắt
endure	chịu đựng
radiation	sự bức xạ
horn	sừng
chronic	mãn tính
peaceful	bình yên
innovation	đổi mới
strain	sự căng thẳng
guitar	đàn ghi ta
replacement	thay thế
behave	hành xử
administer	quản lý
simultaneously	đồng thời
dancer	vũ công
amendment	sửa đổi
guard	bảo vệ
pad	tập giấy
transmission	truyền tải
await	chờ đợi
retired	nghỉ hưu
trigger	cò súng
spill	tràn
grateful	tri ân
grace	ân sủng
virtual	ảo
response	phản ứng
colony	thuộc địa
adoption	nhận con nuôi
slide	trượt
indigenous	bản địa
closed	đóng
convict	tù nhân
civilian	dân thường
towel	khăn tắm
modify	sửa đổi
particle	hạt
award	giải thưởng
glance	nháy mắt
prize	giải thưởng
landing	đổ bộ
conduct	hạnh kiểm
blue	màu xanh da trời
boost	tăng
bat	gậy
alarm	báo thức
festival	lễ hội
grip	nắm chặt
weird	kỳ dị
undermine	phá hoại
freshman	sinh viên năm nhất
sweat	mồ hôi
outer	bên ngoài
European	Châu Âu
drunk	say
survey	khảo sát
research	nghiên cứu
separation	tách biệt
traditionally	theo truyền thống
stuff	đồ đạc
govern	quản lý
southeast	Đông Nam
intelligent	thông minh
wherever	ở đâu
ballot	phiếu
rhetoric	Hùng biện
convinced	thuyết phục
driving	điều khiển
vitamin	vitamin
enthusiasm	hăng hái
accommodate	chứa
praise	ca ngợi
injure	làm bị thương
wilderness	hoang dã
nearby	gần đó
endless	bất tận
mandate	ủy nhiệm
pause	tạm ngừng
excuse	tha
respectively	tương ứng
uncertainty	tính không chắc chắn
chaos	hỗn loạn
short	ngắn
mechanical	cơ khí
canvas	Tranh sơn dầu
forty	bốn mươi
matter	vấn đề
lobby	sảnh đợi
profound	thâm thúy
format	định dạng
trait	đặc điểm
currency	tiền tệ
turkey	gà tây
reserve	dự trữ
beam	chùm tia
abuse	lạm dụng
astronomer	nhà thiên văn học
corruption	tham nhũng
contractor	nhà thầu
apologize	xin lỗi
doctrine	học thuyết
genuine	chính hãng
thumb	ngón tay cái
unity	thống nhất
compromise	thỏa hiệp
horrible	kinh khủng
behavioral	hành vi
exclusive	độc quyền
scatter	tiêu tan
commonly	thông thường
convey	chuyên chở
rush	vội vã
twist	xoắn
complexity	phức tạp
fork	cái nĩa
disk	đĩa
relieve	giải tỏa
suspicion	nghi ngờ
lock	Khóa
finish	hoàn thành
residence	nơi cư trú
shame	xấu hổ
meaningful	có ý nghĩa
sidewalk	đường đi bộ
Olympics	Thế vận hội
technological	công nghệ
signature	Chữ ký
pleasant	dễ chịu
wow	wow
suspend	đình chỉ
rebel	nổi loạn
frozen	đông lạnh
desire	khao khát
spouse	vợ hoặc chồng
fluid	chất lỏng
pension	lương hưu
resume	tiếp tục
theoretical	lý thuyết
sodium	natri
blow	thổi
promotion	quảng cáo
delicate	tinh tế
forehead	trán
rebuild	xây dựng lại
bounce	tung lên
electrical	điện
hook	cái móc
detective	thám tử
traveler	du khách
click	nhấp chuột
compensation	đền bù
signal	tín hiệu
exit	lối thoát
attraction	sức hút
dedicate	dâng hiến
altogether	hoàn toàn
pickup	nhặt lên
carve	khắc chạm
needle	cây kim
belly	bụng
ship	tàu
scare	sợ hãi
portfolio	danh mục đầu tư
shuttle	đưa đón
invisible	vô hình
timing	thời gian
engagement	hôn ước
ankle	mắt cá
transaction	Giao dịch
counterpart	đối tác
historically	lịch sử
firmly	vững chắc
mild	nhẹ nhàng
rider	người lái
doll	búp bê
noon	trưa
exhibit	triển lãm
amid	giữa
identical	giống nhau
precise	tóm lược
anxious	lo lắng
structural	cấu trúc
residential	nhà ở
loud	to tiếng
diagnose	chẩn đoán
carbohydrate	carbohydrate
liberty	tự do
poster	áp phích
theology	thần học
nonprofit	phi lợi nhuận
crawl	thu thập thông tin
oxygen	ôxy
handsome	đẹp
magic	ma thuật
sum	tổng hợp
provided	cung cấp
businessman	doanh nhân
promising	hứa hẹn
conscious	có ý thức
determination	sự quyết tâm
donor	nhà tài trợ
hers	của cô ấy
pastor	mục sư
jazz	jazz
opera	opera
Japanese	tiếng Nhật
bite	cắn
frame	khung
evil	tà ác
acquisition	mua lại
pit	hố
hug	ôm
wildlife	động vật hoang dã
punish	trừng phạt
giant	khổng lồ
primary	sơ cấp
equity	công bằng
wrong	sai rồi
doorway	lối vào
departure	khởi hành
elevator	thang máy
teenage	thiếu niên
guidance	hướng dẫn
happiness	hạnh phúc
statue	bức tượng
pursuit	theo đuổi
repair	sửa
decent	phong nha
gym	phòng thể dục
oral	miệng
clerk	nhân viên bán hàng
Israeli	Israeli
envelope	phong bì
reporting	Báo cáo
destination	nơi đến
fist	nắm tay
endorse	chứng thực
exploration	thăm dò
generous	hào phóng
bath	bồn tắm
rescue	cứu hộ
thereby	bằng cách ấy
overall	tổng thể
indicator	chỉ thị
sunlight	ánh sáng mặt trời
feedback	Phản hồi
spectrum	quang phổ
purple	màu tím
laser	laser
bold	Dũng cảm
reluctant	lưỡng lự
starting	bắt đầu
expertise	chuyên môn
practically	thực tế
program	chương trình
picture	hình ảnh
eating	Ăn
age	tuổi tác
volunteer	Tình nguyện
hint	dấu
sharply	mạnh
parade	diễu hành
advocate	biện hộ
realm	cảnh giới
ban	lệnh cấm
strip	dải
cancel	hủy bỏ
blend	trộn
therapist	nhà trị liệu
slice	lát
peel	lột vỏ
pizza	pizza
recipient	người nhận
hesitate	do dự
flip	lật
accounting	kế toán
debate	tranh luận
bias	sự thiên vị
huh	Huh
metaphor	phép ẩn dụ
candle	nến
handle	xử lý
worry	lo
judicial	tư pháp
entity	thực thể
suffering	đau khổ
fulltime	toàn thời gian
feel	cảm thấy
lamp	đèn
garbage	rác thải
servant	người hầu
addition	thêm vào
regulatory	quy định
diplomatic	ngoại giao
elegant	thanh lịch
inside	phía trong
reception	tiếp nhận
vanish	biến mất
automatically	tự động
chin	cái cằm
trail	đường mòn
necessity	sự cần thiết
confess	xưng
racism	chủ nghĩa phân biệt chủng tộc
starter	bắt đầu
interior	Nội địa
banking	ngân hàng
casual	giản dị
gravity	nghiêm trọng
enroll	ghi danh
diminish	suy giảm
prevention	Phòng ngừa
Arab	Arab
value	giá trị
minimize	giảm thiểu
chop	chặt
performer	người biểu diễn
intent	ý định
isolate	cô lập
pump	máy bơm
inventory	hàng tồn kho
productive	có năng suất
assembly	tổ hợp
civic	công dân
silk	lụa
magnitude	độ lớn
steep	dốc
hostage	con tin
collector	người thu gom
popularity	phổ biến
kiss	hôn
alien	người ngoài hành tinh
dynamic	năng động
scary	đáng sợ
equation	phương trình
angel	Thiên thần
switch	công tắc điện
offering	chào bán
rage	giận dữ
photography	nhiếp ảnh
repair	sửa
toilet	phòng vệ sinh
disappointed	thất vọng
precious	quí
prohibit	cấm
representative	Tiêu biểu
content	Nội dung
realistic	thực tế
Russian	Người Nga
hidden	ẩn
command	chỉ huy
tender	đấu thầu
wake	đánh thức
gathering	thu thập
outstanding	nổi bật
stumble	tình cờ gặp
lonely	cô đơn
automobile	ôtô
artificial	nhân tạo
dawn	bình minh
abstract	trừu tượng
descend	hạ xuống
silly	ngớ ngẩn
hook	cái móc
tide	thủy triều
shared	chia sẻ
hopefully	hy vọng
readily	dễ dàng
cooperate	hợp tác
revolutionary	cách mạng
romance	lãng mạn
hardware	phần cứng
pillow	cái gối
kit	bộ dụng cụ
cook	nấu ăn
spread	Lan tràn
continent	lục địa
seal	niêm phong
circuit	mạch
sink	bồn rửa
ruling	phán quyết
shortage	sự thiếu
annually	hàng năm
lately	gần đây
trap	bẩy
scan	quét
fool	ngu xuẩn
deadline	hạn chót
rear	phía sau
processing	Chế biến
ranch	trang trại
coastal	duyên hải
undertake	thực hiện
softly	nhẹ nhàng
reserve	dự trữ
burning	đốt
verbal	lời nói
tribal	bộ lạc
ridiculous	nực cười
automatic	tự động
diamond	kim cương
credibility	uy tín
import	nhập khẩu
sexually	tình dục
spring	mùa xuân
way	đường
divine	thần thánh
sentiment	tình cảm
cart	xe đẩy
oversee	giám sát
stem	thân cây
elder	đàn anh
pro	pro
inspiration	cảm hứng
Dutch	Người Hà Lan
quantity	số lượng
trailer	trailer
mate	người bạn đời
oclock	giờ
Greek	người Hy Lạp
genius	Thiên tài
monument	tượng đài
bid	BID
quest	nhiệm vụ
invitation	lời mời
accuracy	tính chính xác
juror	bồi thẩm đoàn
officially	chính thức
broker	người môi giới
treasure	kho báu
loyalty	lòng trung thành
credit	tín dụng
shock	sốc
talented	có tài
gasoline	xăng
stiff	cứng
output	đầu ra
nominee	ứng cử viên
extended	mở rộng
please	xin vui lòng
diabetes	Bệnh tiểu đường
slap	tát
toxic	chất độc
alleged	cáo buộc
jaw	hàm
grief	đau buồn
mysterious	huyền bí
rocket	tên lửa
donate	hiến tặng
inmate	tù nhân
tackle	giải quyết
dynamics	động lực học
bow	cây cung
ours	của chúng tôi
senior	cao cấp
dignity	phẩm giá
carpet	thảm
parental	cha mẹ
bubble	bong bóng
heat	nhiệt
buddy	Bạn bè
barn	chuồng trại
sword	thanh kiếm
seventh	thứ bảy
glory	vinh quang
tightly	chặt chẽ
protective	bảo vệ
tuck	tuck
drum	trống
faint	mờ nhạt
post	bài đăng
queen	nữ hoàng
dilemma	tình trạng khó xử
input	đầu vào
specialize	chuyên môn hóa
northeast	đông bắc
shallow	nông
liability	trách nhiệm pháp lý
sail	cánh buồm
merchant	thương gia
stadium	sân vận động
improved	cải tiến
bloody	dính máu
defeat	đánh bại
associated	liên kết
withdrawal	thu hồi
refrigerator	tủ lạnh
nest	tổ
near	ở gần
thoroughly	triệt để
lane	lane
ancestor	tổ tiên
condemn	lên án
steam	hơi nước
accent	giọng điệu
escape	thoát khỏi
optimistic	lạc quan
unite	thống nhất
cage	cái lồng
equip	Trang bị
shrimp	con tôm
homeland	quê hương
exchange	trao đổi
rack	giá đỡ
costume	trang phục
wolf	chó sói
courtroom	phòng xử án
statute	đạo luật
cartoon	hoạt hình
productivity	năng suất
grin	nụ cười
symbolic	tượng trưng
bug	lỗi
bless	ban phước
aunt	cô dì
agriculture	nông nghiệp
rock	đá
hostile	Hostile
root	nguồn gốc
conceive	thụ thai
combined	kết hợp
instantly	ngay lập tức
bankruptcy	phá sản
vaccine	vắcxin
bonus	thưởng
collaboration	hợp tác
mixed	pha trộn
opposed	phản đối
orbit	quỹ đạo
grasp	sự hiểu biết
patience	kiên nhẫn
spite	bất bình
tropical	nhiệt đới
voting	bầu cử
patrol	tuần tra
willingness	sự sẵn lòng
position	Chức vụ
revelation	sự mặc khải
rent	thuê
jewelry	đồ trang sức
Cuban	Cuba
haul	lôi
concede	công nhận
trace	dấu vết
wagon	toa xe
afterward	sau đó
spectacular	đẹp mắt
ruin	phá hoại
sheer	tuyệt
prior	trước
immune	miễn dịch
reliability	độ tin cậy
ass	mông
alongside	bên cạnh
bush	cây bụi
exotic	kỳ lạ
fascinating	hấp dẫn
secure	đảm bảo
clip	kẹp
thigh	đùi
bull	con bò
drawer	ngăn kéo
regard	quan tâm
sheep	cừu
discourage	gây chán nản cho
coordinator	điều phối viên
ideological	ý thức hệ
runner	người chạy
secular	thế tục
intimate	thân mật
empire	đế chế
cab	taxi
divorce	ly hôn
exam	thi
documentary	phim tài liệu
neutral	Trung tính
biology	sinh học
flexible	linh hoạt
progressive	cấp tiến
web	web
conspiracy	âm mưu
catch	bắt lấy
casualty	tai nạn
republic	nước cộng hòa
execution	chấp hành
terrific	khủng khiếp
whale	cá voi
functional	chức năng
star	ngôi sao
draft	bản nháp
instinct	bản năng
teammate	đồng đội
aluminum	nhôm
whoever	bất cứ ai
ministry	Bộ
verdict	bản án
instruct	dạy
skull	sọ
selfesteem	lòng tự trọng
ease	giảm bớt
cooperative	hợp tác xã
manipulate	vận dụng
bee	con ong
practitioner	học viên
loop	vòng lặp
edit	chỉnh sửa
whip	roi da
puzzle	câu đố
mushroom	nấm
subsidy	trợ cấp
boil	sôi lên
tragic	bi kịch
mathematics	toán học
mechanic	thợ cơ khí
jar	lọ
respect	sự tôn trọng
earthquake	động đất
pork	thịt heo
creativity	sáng tạo
safely	an toàn
underlying	cơ bản
dessert	món tráng miệng
sympathy	cảm thông
fisherman	ngư dân
incredibly	vô cùng
isolation	cô lập
sock	bít tất
near	ở gần
jump	nhảy
eleven	mười một
sexy	sexy
entrepreneur	doanh nhân
syndrome	hội chứng
bureau	phòng làm việc
seat	ghế
workplace	nơi làm việc
ambition	tham vọng
touchdown	đụng
utilize	sử dụng
breeze	khoe khoang
costly	tốn kém
ambitious	đầy tham vọng
Christianity	Cơ đốc giáo
presumably	có lẽ
influential	có ảnh hưởng
translation	dịch
uncertain	không chắc chắn
dissolve	giải thể
object	vật
statistical	thống kê
gut	ruột
metropolitan	đô thị
rolling	lăn
aesthetic	thẩm mỹ
spell	Đánh vần
insert	chèn
booth	gian hàng
helmet	mũ bảo hiểm
waist	eo
expected	kỳ vọng
lion	sư tử
accomplishment	hoàn thành
royal	hoàng tộc
panic	hoảng loạn
cast	dàn diễn viên
crush	nghiền nát
actively	tích cực
cliff	vách đá
minimal	tối thiểu
cord	dây
fortunately	may mắn
cocaine	cocaine
illusion	ảo giác
anonymous	vô danh
tolerate	tha thứ
appreciation	sự đánh giá
commissioner	ủy viên
harm	làm hại
flexibility	Mềm dẻo
instructional	hướng dẫn
scramble	tranh giành
casino	casino
tumor	khối u
decorate	trang trí
sort	sắp xếp
charge	sạc điện
pulse	xung
equivalent	tương đương
fixed	đã sửa
experienced	có kinh nghiệm
donation	Quyên góp
diary	Nhật ký
sibling	anh chị em ruột
irony	mỉa mai
spoon	cái thìa
midst	giữa
alley	hẻm
upset	buồn bã
interact	tương tác
soap	xà bông
cute	dễ thương
rival	đối thủ
shortterm	thời gian ngắn
punch	đấm
pin	ghim
hockey	khúc côn cầu
passing	đi qua
persist	tồn tại
supplier	nhà cung cấp
known	nổi tiếng
momentum	Đà
purse	cái ví
shed	đổ ra
icon	biểu tượng
elephant	con voi
consequently	hậu quả là
legislature	cơ quan lập pháp
franchise	nhượng quyền thương mại
correctly	đúng
mentally	tinh thần
foster	nuôi dưỡng
bicycle	Xe đạp
encouraging	khuyến khích
cheat	lừa đảo
access	truy cập
heal	chữa lành
fever	sốt
filter	lọc
rabbit	Con thỏ
coin	đồng tiền
exploit	khai thác
accessible	có thể truy cập
organism	cơ thể
sensation	cảm giác
partially	một phần
stay	ở lại
upstairs	tầng trên
dried	khô
minimum	tối thiểu
pro	pro
conservation	bảo tồn
shove	xô
backyard	sân sau
charter	điều lệ
stove	bếp
consent	bằng lòng
comprise	bao gồm
reminder	nhắc nhở
alike	như nhau
placement	vị trí
dough	bột
grandchild	cháu ngoại
dam	con đập
reportedly	báo cáo
